team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Ethiopia,Abubeker Nassir,4,1.689,0.705,27.0,0.0626,0.0262,2025-03-24
Switzerland,Ruben Vargas,6,2.39,0.0,45.1,0.053,0.0,2024-06-29
Iran,Ramin Rezaeian,5,2.385,0.0,42.0,0.0568,0.0,2026-06-15
England,Eberechi Eze,3,2.371,0.0,47.5,0.0499,0.0,2025-11-13
Poland,Adam Buksa,7,2.367,0.0,40.6,0.0583,0.0,2024-06-16
Guatemala,Olger Escobar,3,2.363,0.0,43.3,0.0545,0.0,2025-11-18
Finland,Oliver Antman,5,2.353,0.0,38.2,0.0616,0.0,2025-03-21
Fiji,Thomas Dunn,4,2.35,0.0,23.2,0.1015,0.0,2024-11-14
Greece,Konstantinos Karetsas,3,2.348,0.0,36.4,0.0644,0.0,2025-11-15
Argentina,Ángel Di María,17,2.347,0.0,46.5,0.0505,0.0,2022-12-18
Ukraine,Viktor Tsyhankov,8,1.914,0.433,39.0,0.0491,0.0111,2024-03-26
Spain,Pedri,3,2.347,0.0,47.3,0.0496,0.0,2025-09-07
Canada,Lucas Cavallini,11,2.343,0.0,46.0,0.0509,0.0,2023-06-27
Comoros,Myziane Maolida,4,2.34,0.0,38.9,0.0602,0.0,2025-09-07
Uruguay,Federico Valverde,6,2.335,0.0,43.2,0.054,0.0,2024-11-19
Tunisia,Wahbi Khazri,13,1.664,0.67,52.8,0.0315,0.0127,2022-11-30
Italy,Federico Chiesa,7,2.327,0.0,41.7,0.0558,0.0,2023-11-17
Mali,Dorgeles Nene,3,2.324,0.0,36.8,0.0632,0.0,2025-10-12
Thailand,Suphanat Mueanta,5,2.32,0.0,45.2,0.0513,0.0,2024-06-11
Chile,Arturo Vidal,25,1.782,0.535,40.1,0.0444,0.0133,2023-09-08
Montenegro,Stefan Mugoša,12,2.196,0.118,35.2,0.0623,0.0034,2022-06-14
Nigeria,Raphael Onyedika,3,2.313,0.0,48.4,0.0478,0.0,2025-12-30
Uganda,Allan Okello,3,1.505,0.801,34.8,0.0432,0.023,2025-09-08
Bosnia and Herzegovina,Ermedin Demirović,4,2.306,0.0,38.1,0.0605,0.0,2025-03-24
Kuwait,Mohammad Daham,4,2.302,0.0,39.8,0.0579,0.0,2024-11-19
Germany,Thomas Müller,35,2.202,0.087,46.1,0.0478,0.0019,2022-06-14
United States,Diego Luna,3,2.281,0.0,57.9,0.0394,0.0,2025-07-02
Sweden,Dejan Kulusevski,5,2.278,0.0,43.6,0.0522,0.0,2024-11-19
Belgium,Eden Hazard,25,1.7,0.573,44.8,0.038,0.0128,2021-09-05
Denmark,Patrick Dorgu,3,2.272,0.0,41.0,0.0554,0.0,2025-11-18
Denmark,Pierre-Emile Højbjerg,7,2.264,0.0,41.0,0.0552,0.0,2024-09-05
Iraq,Ali Al-Hamadi,3,2.262,0.0,51.5,0.0439,0.0,2026-03-31
Panama,Tomás Rodríguez,3,2.262,0.0,56.7,0.0399,0.0,2025-06-24
Zimbabwe,Knowledge Musona,7,1.991,0.271,30.5,0.0653,0.0089,2025-12-26
Slovenia,Andraž Šporar,7,2.26,0.0,38.4,0.0588,0.0,2023-09-07
Romania,Denis Alibec,5,2.258,0.0,38.6,0.0585,0.0,2025-03-24
United States,Malik Tillman,3,2.257,0.0,57.9,0.039,0.0,2025-06-22
Mexico,César Montes,3,2.256,0.0,63.7,0.0354,0.0,2025-06-18
Georgia,Giorgi Chakvetadze,7,2.247,0.0,37.4,0.06,0.0,2025-03-23
Jamaica,Warner Brown,3,2.243,0.0,50.0,0.0449,0.0,2025-06-10
Lithuania,Pijus Širvys,4,2.24,0.0,36.3,0.0618,0.0,2025-10-09
Romania,George Pușcaș,10,2.238,0.0,38.6,0.058,0.0,2023-11-18
Israel,Mu'nas Dabbur,11,1.958,0.278,32.0,0.0611,0.0087,2021-11-15
Mali,Ibrahima Koné,8,1.089,1.145,36.8,0.0296,0.0311,2022-01-20
Sweden,Robin Quaison,10,2.233,0.0,43.6,0.0512,0.0,2023-09-09
Switzerland,Dan Ndoye,3,2.218,0.0,45.1,0.0492,0.0,2025-11-15
Turkey,Burak Yılmaz,22,1.439,0.777,43.9,0.0328,0.0177,2022-03-24
Senegal,Iliman Ndiaye,3,2.213,0.0,51.4,0.0431,0.0,2026-01-09
New Caledonia,Georges Gope-Fenepej,11,2.203,0.0,14.3,0.154,0.0,2025-03-21
Uzbekistan,Oston Urunov,4,2.196,0.0,42.5,0.0517,0.0,2024-09-10
Ecuador,Gonzalo Plata,6,2.19,0.0,44.1,0.0497,0.0,2024-11-14
Uruguay,Rodrigo Aguirre,3,2.187,0.0,43.2,0.0506,0.0,2025-09-04
Lebanon,Hassan Maatouk,12,1.318,0.868,31.6,0.0417,0.0274,2024-06-11
Slovenia,Josip Iličić,14,1.501,0.682,38.4,0.0391,0.0177,2021-10-11
Albania,Sokol Çikalleshi,10,1.335,0.848,37.6,0.0355,0.0226,2023-11-17
Niger,Victorien Adebayor,6,2.182,0.0,30.9,0.0706,0.0,2025-10-08
Georgia,Budu Zivzivadze,5,2.178,0.0,37.4,0.0582,0.0,2024-03-21
Romania,Valentin Mihăilă,5,2.167,0.0,38.6,0.0561,0.0,2024-09-09
Serbia,Dušan Tadić,13,1.343,0.823,39.4,0.0341,0.0209,2023-10-17
Poland,Nicola Zalewski,3,1.56,0.606,40.6,0.0384,0.0149,2026-03-31
Portugal,Francisco Conceição,3,2.16,0.0,47.0,0.046,0.0,2025-11-16
Trinidad and Tobago,Nathaniel James,3,2.158,0.0,43.4,0.0498,0.0,2025-11-18
Indonesia,Ole Romeny,3,1.409,0.745,41.6,0.0339,0.0179,2025-06-05
Costa Rica,Joel Campbell,14,1.712,0.438,49.0,0.0349,0.0089,2023-07-04
Uzbekistan,Igor Sergeev,9,2.144,0.0,42.5,0.0505,0.0,2025-06-10
Israel,Shon Weissman,6,1.703,0.432,32.0,0.0532,0.0135,2023-11-15
Kosovo,Florent Muslija,3,2.131,0.0,34.0,0.0627,0.0,2026-03-26
Croatia,Joško Gvardiol,4,2.13,0.0,45.5,0.0469,0.0,2025-11-14
