team,scorer,goals_total,op_goals_w,pen_goals_w,matches_w,op_rate,pen_rate,last_date
Australia,Rhyan Grant,1,0.264,0.0,41.1,0.0064,0.0,2021-09-07
Cape Verde,Dylan Tavares,1,0.264,0.0,38.7,0.0068,0.0,2021-09-07
Tanzania,Novatus Dismas,1,0.264,0.0,36.1,0.0073,0.0,2021-09-07
Slovakia,Martin Koscelník,1,0.264,0.0,39.4,0.0067,0.0,2021-09-07
Libya,Omar Al Khouja,1,0.264,0.0,28.9,0.0092,0.0,2021-09-07
Guinea-Bissau,Frédéric Mendy,1,0.264,0.0,26.7,0.0099,0.0,2021-09-07
Madagascar,Thomas Fontaine,1,0.264,0.0,29.7,0.0089,0.0,2021-09-07
Syria,Mahmoud Al Baher,1,0.264,0.0,38.4,0.0069,0.0,2021-09-07
Faroe Islands,Heini Vatnsdal,1,0.264,0.0,33.9,0.0078,0.0,2021-09-07
South Africa,Bongokuhle Hlongwane,1,0.264,0.0,49.4,0.0053,0.0,2021-09-06
Djibouti,Anas Farah Ali,1,0.264,0.0,14.6,0.0181,0.0,2021-09-06
Niger,Amadou Sabo,1,0.264,0.0,30.9,0.0085,0.0,2021-09-06
Liberia,Kpah Sherman,1,0.264,0.0,26.5,0.01,0.0,2021-09-06
Benin,Jordan Adéoti,1,0.264,0.0,33.0,0.008,0.0,2021-09-06
Djibouti,Warsama Hassan,1,0.264,0.0,14.6,0.0181,0.0,2021-09-06
Rwanda,Abdul Rwatubyaye,1,0.264,0.0,26.2,0.0101,0.0,2021-09-05
Romania,Alin Toșca,1,0.264,0.0,38.6,0.0068,0.0,2021-09-05
Belarus,Pavel Sedko,1,0.264,0.0,36.2,0.0073,0.0,2021-09-05
Namibia,Elmo Kambindu,1,0.264,0.0,30.0,0.0088,0.0,2021-09-05
Iceland,Brynjar Ingi Bjarnason,1,0.264,0.0,42.1,0.0063,0.0,2021-09-05
Romania,Cristian Manea,1,0.264,0.0,38.6,0.0068,0.0,2021-09-05
Germany,Karim Adeyemi,1,0.264,0.0,46.1,0.0057,0.0,2021-09-05
Panama,Andrés Andrade,1,0.264,0.0,56.7,0.0047,0.0,2021-09-05
Uruguay,Agustín Álvarez,1,0.264,0.0,43.2,0.0061,0.0,2021-09-05
Greece,Anastasios Douvikas,1,0.264,0.0,36.4,0.0072,0.0,2021-09-05
Russia,Rifat Zhemaletdinov,1,0.263,0.0,31.3,0.0084,0.0,2021-09-04
France,Anthony Martial,1,0.263,0.0,47.7,0.0055,0.0,2021-09-04
Mauritania,Mamadou Niass,1,0.263,0.0,35.9,0.0073,0.0,2021-09-03
Zambia,Prince Mumba,1,0.263,0.0,37.2,0.0071,0.0,2021-09-03
Egypt,Abdallah El Said,4,0.263,0.0,51.2,0.0051,0.0,2017-01-21
Namibia,Charles Hambira,1,0.263,0.0,30.0,0.0088,0.0,2021-09-02
Belgium,Thomas Foket,1,0.263,0.0,44.8,0.0059,0.0,2021-09-02
Bolivia,Fernando Saucedo,1,0.263,0.0,40.6,0.0065,0.0,2021-09-02
Argentina,Ángel Correa,1,0.263,0.0,46.5,0.0057,0.0,2021-09-02
Algeria,Ramy Bensebaini,1,0.263,0.0,53.4,0.0049,0.0,2021-09-02
Ukraine,Danylo Sikan,1,0.263,0.0,39.0,0.0067,0.0,2021-09-01
Montenegro,Risto Radunović,1,0.263,0.0,35.2,0.0075,0.0,2021-09-01
Central African Republic,Tresór Toropité,1,0.263,0.0,23.0,0.0114,0.0,2021-09-01
Gabon,André Biyogo Poko,1,0.263,0.0,31.5,0.0084,0.0,2021-09-01
Libya,Ali Salama,1,0.263,0.0,28.9,0.0091,0.0,2021-09-01
Luxembourg,Mica Pinto,1,0.263,0.0,34.0,0.0077,0.0,2021-09-01
Denmark,Daniel Wass,1,0.263,0.0,41.0,0.0064,0.0,2021-09-01
Netherlands,Davy Pröpper,3,0.263,0.0,45.5,0.0058,0.0,2017-10-07
Azerbaijan,Afran Ismayilov,3,0.174,0.089,35.6,0.0049,0.0025,2017-10-05
Papua New Guinea,Nigel Dabinyaba,4,0.261,0.0,17.0,0.0154,0.0,2017-03-23
Romania,Ciprian Marica,17,0.186,0.073,38.6,0.0048,0.0019,2014-09-07
Scotland,Grant Hanley,2,0.258,0.0,41.1,0.0063,0.0,2021-03-25
Belarus,Ihar Stasevich,3,0.257,0.0,36.2,0.0071,0.0,2019-03-24
Senegal,Moussa Sow,6,0.227,0.03,51.4,0.0044,0.0006,2017-01-23
Qatar,Karim Boudiaf,3,0.257,0.0,54.5,0.0047,0.0,2019-10-10
Czech Republic,Matěj Vydra,3,0.256,0.0,42.5,0.006,0.0,2020-10-11
United States,Matthew Hoppe,1,0.255,0.0,57.9,0.0044,0.0,2021-07-25
Ivory Coast,Yaya Touré,13,0.228,0.027,46.1,0.0049,0.0006,2015-02-04
Bulgaria,Georgi Kostadinov,3,0.255,0.0,35.6,0.0072,0.0,2017-09-03
Qatar,Homam Ahmed,1,0.254,0.0,54.5,0.0047,0.0,2021-07-20
Grenada,Romar Frank,1,0.254,0.0,26.4,0.0096,0.0,2021-07-20
United States,Shaq Moore,1,0.254,0.0,57.9,0.0044,0.0,2021-07-18
Mexico,Luis Alfonso Rodríguez,1,0.254,0.0,63.7,0.004,0.0,2021-07-18
Qatar,Bassam Al-Rawi,2,0.254,0.0,54.5,0.0047,0.0,2019-01-22
Jamaica,Junior Flemmings,1,0.254,0.0,50.0,0.0051,0.0,2021-07-16
Guadeloupe,Dimitri Ramothe,1,0.254,0.0,18.8,0.0135,0.0,2021-07-16
Paraguay,Óscar Cardozo,5,0.111,0.142,39.1,0.0028,0.0036,2019-06-16
Haiti,Stéphane Lambese,1,0.253,0.0,35.3,0.0072,0.0,2021-07-15
United States,Nicholas Gioacchini,1,0.253,0.0,57.9,0.0044,0.0,2021-07-15
Slovenia,Boštjan Cesar,7,0.253,0.0,38.4,0.0066,0.0,2016-09-04
Thailand,Theerathon Bunmathan,3,0.051,0.202,45.2,0.0011,0.0045,2019-09-10
South Korea,Kim Min-jae,2,0.253,0.0,47.9,0.0053,0.0,2019-01-16
Honduras,Edwin Solano,1,0.253,0.0,43.8,0.0058,0.0,2021-07-13
Honduras,Johnny Leverón,1,0.253,0.0,43.8,0.0058,0.0,2021-07-13
Argentina,Ezequiel Lavezzi,6,0.253,0.0,46.5,0.0054,0.0,2016-06-21
Jamaica,Bobby Decordova-Reid,1,0.253,0.0,50.0,0.0051,0.0,2021-07-12
Costa Rica,Ariel Lassiter,1,0.253,0.0,49.0,0.0052,0.0,2021-07-12
Guadeloupe,Raphaël Mirval,1,0.253,0.0,18.8,0.0135,0.0,2021-07-12
United States,Sam Vines,1,0.253,0.0,57.9,0.0044,0.0,2021-07-11
Uruguay,Diego Godín,5,0.253,0.0,43.2,0.0058,0.0,2016-06-05
Scotland,Shaun Maloney,7,0.164,0.088,41.1,0.004,0.0022,2015-10-11
Iceland,Jón Daði Böðvarsson,3,0.252,0.0,42.1,0.006,0.0,2019-09-07
United States,Jordan Morris,3,0.251,0.0,57.9,0.0043,0.0,2017-07-26
Paraguay,Gabriel Ávalos,1,0.251,0.0,39.1,0.0064,0.0,2021-07-02
Spain,César Azpilicueta,1,0.25,0.0,47.3,0.0053,0.0,2021-06-28
Brazil,Éder Militão,1,0.25,0.0,45.1,0.0055,0.0,2021-06-27
Czech Republic,Tomáš Holeš,1,0.25,0.0,42.5,0.0059,0.0,2021-06-27
Canada,Tosaint Ricketts,7,0.25,0.0,46.0,0.0054,0.0,2015-09-04
Paraguay,Braian Samudio,1,0.249,0.0,39.1,0.0064,0.0,2021-06-24
Israel,Tal Ben Haim,6,0.234,0.015,32.0,0.0073,0.0005,2016-10-06
Venezuela,Ronald Hernández,1,0.249,0.0,37.3,0.0067,0.0,2021-06-20
Venezuela,Edson Castillo,1,0.249,0.0,37.3,0.0067,0.0,2021-06-20
Germany,Robin Gosens,1,0.249,0.0,46.1,0.0054,0.0,2021-06-19
Argentina,Guido Rodríguez,1,0.248,0.0,46.5,0.0053,0.0,2021-06-18
Brazil,Alex Sandro,1,0.248,0.0,45.1,0.0055,0.0,2021-06-17
Vietnam,Trần Minh Vương,1,0.248,0.0,36.3,0.0068,0.0,2021-06-15
Tajikistan,Komron Tursunov,1,0.248,0.0,29.9,0.0083,0.0,2021-06-15
Maldives,Ali Fasir,1,0.248,0.0,23.1,0.0107,0.0,2021-06-15
United Arab Emirates,Ali Salmeen,1,0.248,0.0,43.9,0.0056,0.0,2021-06-15
Afghanistan,Hossein Zamani,1,0.248,0.0,20.7,0.012,0.0,2021-06-15
Japan,Sho Sasaki,1,0.248,0.0,46.4,0.0053,0.0,2021-06-15
Saudi Arabia,Ali Al-Hassan,1,0.248,0.0,59.9,0.0041,0.0,2021-06-15
Tajikistan,Sheriddin Boboev,1,0.248,0.0,29.9,0.0083,0.0,2021-06-15
Kyrgyzstan,Farhat Musabekov,1,0.247,0.0,28.1,0.0088,0.0,2021-06-11
Afghanistan,Omid Popalzay,1,0.247,0.0,20.7,0.012,0.0,2021-06-11
Kyrgyzstan,Abay Bokoleyev,1,0.247,0.0,28.1,0.0088,0.0,2021-06-11
Philippines,Mark Hartmann,1,0.247,0.0,31.4,0.0079,0.0,2021-06-11
Malaysia,Guilherme de Paula Lucrécio,1,0.0,0.247,36.9,0.0,0.0067,2021-06-11
Iran,Milad Mohammadi,1,0.247,0.0,42.0,0.0059,0.0,2021-06-11
United Arab Emirates,Sebastián Tagliabúe,1,0.247,0.0,43.9,0.0056,0.0,2021-06-11
China,Liu Binbin,1,0.247,0.0,32.8,0.0075,0.0,2021-06-11
China,Tan Long,1,0.247,0.0,32.8,0.0075,0.0,2021-06-11
Australia,Fran Karačić,1,0.247,0.0,41.1,0.006,0.0,2021-06-11
Germany,Lars Stindl,3,0.247,0.0,46.1,0.0054,0.0,2017-07-02
South Korea,Lee Dong-gyeong,1,0.247,0.0,47.9,0.0051,0.0,2021-06-09
Turkmenistan,Güýçmyrat Annagulyýew,1,0.247,0.0,16.1,0.0154,0.0,2021-06-09
South Korea,Jeong Sang-bin,1,0.247,0.0,47.9,0.0051,0.0,2021-06-09
Lebanon,Rabih Ataya,1,0.247,0.0,31.6,0.0078,0.0,2021-06-09
Turkmenistan,Zafar Babajanow,1,0.247,0.0,16.1,0.0154,0.0,2021-06-09
Qatar,Sebastián Soria,14,0.235,0.012,54.5,0.0043,0.0002,2016-10-06
Peru,Luis Advíncula,1,0.246,0.0,40.0,0.0062,0.0,2021-06-08
Haiti,Derrick Etienne,1,0.246,0.0,35.3,0.007,0.0,2021-06-08
Argentina,Cristian Romero,1,0.246,0.0,46.5,0.0053,0.0,2021-06-08
Argentina,Leandro Paredes,1,0.246,0.0,46.5,0.0053,0.0,2021-06-08
United Arab Emirates,Mohammed Jumaa,1,0.246,0.0,43.9,0.0056,0.0,2021-06-07
Vietnam,Vũ Văn Thanh,1,0.246,0.0,36.3,0.0068,0.0,2021-06-07
Cambodia,Soeuy Visal,1,0.246,0.0,26.2,0.0094,0.0,2021-06-07
Taiwan,Gao Wei-jie,1,0.246,0.0,19.4,0.0127,0.0,2021-06-07
Japan,Kento Hashimoto,1,0.246,0.0,46.4,0.0053,0.0,2021-06-07
Mongolia,Oyunbaataryn Mijiddorj,1,0.246,0.0,13.8,0.0178,0.0,2021-06-07
China,Wu Xinghan,1,0.246,0.0,32.8,0.0075,0.0,2021-06-07
Iraq,Safaa Hadi,1,0.246,0.0,51.5,0.0048,0.0,2021-06-07
Japan,Hayao Kawabe,1,0.246,0.0,46.4,0.0053,0.0,2021-06-07
Panama,Jorman Aguilar,1,0.246,0.0,56.7,0.0043,0.0,2021-06-05
Curaçao,Brandley Kuwas,1,0.246,0.0,33.6,0.0073,0.0,2021-06-05
El Salvador,Juan Carlos Portillo,1,0.246,0.0,44.1,0.0056,0.0,2021-06-05
Panama,Francisco Palacios,1,0.246,0.0,56.7,0.0043,0.0,2021-06-05
Canada,Zachary Brault-Guillard,1,0.246,0.0,46.0,0.0053,0.0,2021-06-05
Hungary,Dániel Böde,5,0.246,0.0,38.7,0.0064,0.0,2017-10-10
Kenya,Johanna Omolo,3,0.246,0.0,30.5,0.0081,0.0,2019-06-27
Dominican Republic,Manny Rodríguez,1,0.246,0.0,28.1,0.0087,0.0,2021-06-04
Guatemala,John Méndez,1,0.246,0.0,43.3,0.0057,0.0,2021-06-04
Guatemala,Jorge Estuardo Vargas,1,0.246,0.0,43.3,0.0057,0.0,2021-06-04
Antigua and Barbuda,Rhys Browne,1,0.246,0.0,18.0,0.0137,0.0,2021-06-04
Nicaragua,Richard Rodríguez,1,0.246,0.0,32.7,0.0075,0.0,2021-06-04
Guatemala,Rudy Barrientos,1,0.246,0.0,43.3,0.0057,0.0,2021-06-04
Guatemala,Marvin Ceballos,1,0.0,0.246,43.3,0.0,0.0057,2021-06-04
Indonesia,Evan Dimas,1,0.246,0.0,41.6,0.0059,0.0,2021-06-03
Iran,Vahid Amiri,1,0.246,0.0,42.0,0.0059,0.0,2021-06-03
Nepal,Nawayug Shrestha,1,0.246,0.0,27.2,0.009,0.0,2021-06-03
Hong Kong,Cheng Siu Kwan,1,0.246,0.0,34.3,0.0072,0.0,2021-06-03
Thailand,Narubadin Weerawatnodom,1,0.246,0.0,45.2,0.0054,0.0,2021-06-03
Bahrain,Jasim Al-Shaikh,1,0.246,0.0,46.7,0.0053,0.0,2021-06-03
Bangladesh,Topu Barman,1,0.246,0.0,30.1,0.0082,0.0,2021-06-03
Indonesia,I Kadek Agung Widnyana,1,0.246,0.0,41.6,0.0059,0.0,2021-06-03
Dominica,Chad Bertrand,1,0.245,0.0,19.0,0.0129,0.0,2021-06-02
Puerto Rico,Jaden Servania,1,0.245,0.0,22.2,0.011,0.0,2021-06-02
Dominica,Briel Thomas,1,0.245,0.0,19.0,0.0129,0.0,2021-06-02
Cuba,Dairon Reyes,1,0.245,0.0,29.0,0.0085,0.0,2021-06-02
Aruba,Terence Groothusen,1,0.245,0.0,18.7,0.0131,0.0,2021-06-02
Montserrat,Rohan Ince,1,0.245,0.0,13.9,0.0177,0.0,2021-06-02
Puerto Rico,Gerald Díaz,1,0.245,0.0,22.2,0.011,0.0,2021-06-02
Cayman Islands,Jonah Ebanks,1,0.0,0.245,17.9,0.0,0.0137,2021-06-02
Cuba,Cavafe,1,0.245,0.0,29.0,0.0085,0.0,2021-06-02
Puerto Rico,Devin Vega,1,0.245,0.0,22.2,0.011,0.0,2021-06-02
Montserrat,Nathan Pond,1,0.245,0.0,13.9,0.0177,0.0,2021-06-02
Puerto Rico,Lester Hayes III,1,0.245,0.0,22.2,0.011,0.0,2021-06-02
China,Jin Jingdao,1,0.245,0.0,32.8,0.0075,0.0,2021-05-30
Bosnia and Herzegovina,Zvjezdan Misimović,19,0.199,0.046,38.1,0.0052,0.0012,2013-10-11
Republic of Ireland,Daryl Murphy,3,0.244,0.0,37.6,0.0065,0.0,2017-10-06
Mexico,Rafael Márquez,13,0.244,0.0,63.7,0.0038,0.0,2016-11-11
Russia,Aleksandr Kerzhakov,21,0.244,0.0,31.3,0.0078,0.0,2014-06-17
France,Samuel Umtiti,2,0.244,0.0,47.7,0.0051,0.0,2019-03-25
Colombia,Teófilo Gutiérrez,9,0.243,0.0,45.0,0.0054,0.0,2015-10-08
Kazakhstan,Yuriy Logvinenko,4,0.243,0.0,35.6,0.0068,0.0,2018-09-10
Denmark,Mathias Jørgensen,2,0.243,0.0,41.0,0.0059,0.0,2019-03-26
Kosovo,Donis Avdijaj,2,0.243,0.0,34.0,0.0071,0.0,2018-11-17
Croatia,Tin Jedvaj,2,0.242,0.0,45.5,0.0053,0.0,2018-11-15
Croatia,Ante Rebić,2,0.242,0.0,45.5,0.0053,0.0,2019-03-24
Germany,Julian Brandt,2,0.242,0.0,46.1,0.0052,0.0,2019-11-19
Ukraine,Artem Besyedin,2,0.242,0.0,39.0,0.0062,0.0,2019-11-17
Uruguay,Diego Forlán,28,0.213,0.028,43.2,0.0049,0.0007,2013-06-20
New Zealand,Ryan Thomas,3,0.241,0.0,32.7,0.0074,0.0,2017-09-01
Saint Vincent and the Grenadines,Tevin Slater,5,0.24,0.0,27.3,0.0088,0.0,2015-09-08
Italy,Éder,4,0.239,0.0,41.7,0.0057,0.0,2017-06-11
New Zealand,Marco Rojas,4,0.238,0.0,32.7,0.0073,0.0,2017-03-25
Romania,George Țucudean,2,0.237,0.0,38.6,0.0061,0.0,2018-11-20
Gibraltar,Joseph Chipolina,2,0.118,0.118,33.2,0.0036,0.0036,2018-10-16
Qatar,Ali Assadalla,4,0.236,0.0,54.5,0.0043,0.0,2017-08-31
Azerbaijan,Richard Almeida de Oliveira,2,0.118,0.118,35.6,0.0033,0.0033,2018-10-11
Germany,Sami Khedira,6,0.235,0.0,46.1,0.0051,0.0,2016-11-11
Cameroon,Banana Yaya,2,0.235,0.0,40.1,0.0059,0.0,2019-06-25
Cameroon,Samuel Eto'o,40,0.165,0.069,40.1,0.0041,0.0017,2013-03-23
DR Congo,Neeskens Kebano,3,0.234,0.0,44.0,0.0053,0.0,2017-11-11
England,Jermain Defoe,14,0.234,0.0,47.5,0.0049,0.0,2017-03-26
DR Congo,Paul-José M'Poku,3,0.234,0.0,44.0,0.0053,0.0,2017-09-05
Poland,Jakub Moder,1,0.234,0.0,40.6,0.0058,0.0,2021-03-31
Kazakhstan,Serikzhan Muzhikov,1,0.234,0.0,35.6,0.0066,0.0,2021-03-31
Moldova,Cătălin Carp,1,0.234,0.0,36.5,0.0064,0.0,2021-03-31
Iceland,Rúnar Már Sigurjónsson,1,0.0,0.234,42.1,0.0,0.0055,2021-03-31
Kosovo,Besar Halimi,1,0.234,0.0,34.0,0.0069,0.0,2021-03-31
Saint Vincent and the Grenadines,Zidane Sam,1,0.234,0.0,27.3,0.0086,0.0,2021-03-30
Guyana,Kadell Daniel,1,0.234,0.0,25.1,0.0093,0.0,2021-03-30
Belize,Deshawon Nembhard,1,0.234,0.0,22.2,0.0105,0.0,2021-03-30
Saint Vincent and the Grenadines,Azinho Solomon,1,0.234,0.0,27.3,0.0086,0.0,2021-03-30
Guyana,Terence Vancooten,1,0.234,0.0,25.1,0.0093,0.0,2021-03-30
Belize,Jesse August,1,0.234,0.0,22.2,0.0105,0.0,2021-03-30
Latvia,Roberts Savaļnieks,1,0.234,0.0,34.6,0.0068,0.0,2021-03-30
Bermuda,Jaylon Bather,1,0.234,0.0,25.1,0.0093,0.0,2021-03-30
Bermuda,Knory Scott,1,0.234,0.0,25.1,0.0093,0.0,2021-03-30
Cameroon,Clinton N'Jie,2,0.234,0.0,40.1,0.0058,0.0,2019-07-06
Canada,David Wotherspoon,1,0.234,0.0,46.0,0.0051,0.0,2021-03-29
Canada,Frank Sturing,1,0.234,0.0,46.0,0.0051,0.0,2021-03-29
Canada,Alistair Johnston,1,0.234,0.0,46.0,0.0051,0.0,2021-03-29
Austria,Aleksandar Dragović,1,0.233,0.0,41.4,0.0056,0.0,2021-03-28
Denmark,Marcus Ingvartsen,1,0.233,0.0,41.0,0.0057,0.0,2021-03-28
Denmark,Mathias Jensen,1,0.233,0.0,41.0,0.0057,0.0,2021-03-28
Ukraine,Júnior Moraes,1,0.233,0.0,39.0,0.006,0.0,2021-03-28
Suriname,Roland Alberg,1,0.233,0.0,26.1,0.0089,0.0,2021-03-27
Suriname,Florian Jozefzoon,1,0.233,0.0,26.1,0.0089,0.0,2021-03-27
Turkey,Çağlar Söyüncü,1,0.233,0.0,43.9,0.0053,0.0,2021-03-27
Nicaragua,Marvin Fletes,1,0.233,0.0,32.7,0.0071,0.0,2021-03-27
Nicaragua,Matias Belli Moldskred,1,0.233,0.0,32.7,0.0071,0.0,2021-03-27
Malta,Luke Gambin,1,0.233,0.0,33.3,0.007,0.0,2021-03-27
Saint Kitts and Nevis,Omari Sterling-James,1,0.233,0.0,26.8,0.0087,0.0,2021-03-27
Dominican Republic,Luis Espinal,1,0.233,0.0,28.1,0.0083,0.0,2021-03-27
Belarus,Yury Kendysh,1,0.233,0.0,36.2,0.0064,0.0,2021-03-27
Nicaragua,Dshon Forbes,1,0.233,0.0,32.7,0.0071,0.0,2021-03-27
Saint Kitts and Nevis,Rowan Liburd,1,0.0,0.233,26.8,0.0,0.0087,2021-03-27
Canada,Richie Laryea,1,0.233,0.0,46.0,0.0051,0.0,2021-03-25
Curaçao,Anthony van den Hurk,1,0.233,0.0,33.6,0.0069,0.0,2021-03-25
Faroe Islands,Meinhard Olsen,1,0.233,0.0,33.9,0.0069,0.0,2021-03-25
Haiti,Steven Séance,1,0.233,0.0,35.3,0.0066,0.0,2021-03-25
Curaçao,Jarchinio Antonia,1,0.233,0.0,33.6,0.0069,0.0,2021-03-25
Curaçao,Elson Hooi,1,0.233,0.0,33.6,0.0069,0.0,2021-03-25
Chile,Charles Aránguiz,6,0.233,0.0,40.1,0.0058,0.0,2016-06-22
Antigua and Barbuda,D'Andre Bishop,1,0.233,0.0,18.0,0.0129,0.0,2021-03-24
Suriname,Ryan Donk,1,0.0,0.233,26.1,0.0,0.0089,2021-03-24
Dominican Republic,Fran Núñez,1,0.233,0.0,28.1,0.0083,0.0,2021-03-24
Republic of Ireland,James Collins,1,0.233,0.0,37.6,0.0062,0.0,2021-03-24
Antigua and Barbuda,Eugene Kirwan,1,0.233,0.0,18.0,0.0129,0.0,2021-03-24
Saint Kitts and Nevis,Vinceroy Nelson,1,0.233,0.0,26.8,0.0087,0.0,2021-03-24
Russia,Aleksandr Sobolev,1,0.233,0.0,31.3,0.0074,0.0,2021-03-24
Norway,Jonas Svensson,1,0.233,0.0,39.1,0.0059,0.0,2021-03-24
Australia,Mark Milligan,4,0.05,0.182,41.1,0.0012,0.0044,2017-06-22
Lesotho,Tsepo Seturumane,3,0.232,0.0,30.0,0.0077,0.0,2019-09-08
Norway,Tarik Elyounoussi,4,0.209,0.022,39.1,0.0053,0.0006,2019-06-07
Egypt,Mohamed Aboutrika,20,0.127,0.104,51.2,0.0025,0.002,2013-10-15
Austria,Guido Burgstaller,2,0.23,0.0,41.4,0.0056,0.0,2019-06-07
Turkey,Emre Akbaba,2,0.23,0.0,43.9,0.0052,0.0,2018-09-10
Greece,Zeca,2,0.229,0.0,36.4,0.0063,0.0,2019-06-11
Scotland,Andrew Robertson,2,0.228,0.0,41.1,0.0056,0.0,2019-06-08
Paraguay,Darío Lezcano,4,0.228,0.0,39.1,0.0058,0.0,2016-03-29
Nicaragua,Carlos Chavarría,4,0.227,0.0,32.7,0.0069,0.0,2017-07-12
North Korea,Pak Kwang-ryong,3,0.174,0.053,17.6,0.0099,0.003,2019-01-17
Zambia,Collins Mbesuma,10,0.226,0.0,37.2,0.0061,0.0,2016-11-12
Republic of Ireland,Shane Long,5,0.226,0.0,37.6,0.006,0.0,2016-10-09
Argentina,Gabriel Mercado,3,0.226,0.0,46.5,0.0049,0.0,2018-06-30
Canada,Scott Arfield,2,0.225,0.0,46.0,0.0049,0.0,2019-06-15
Togo,Kodjo Fo-Doh Laba,2,0.225,0.0,27.6,0.0082,0.0,2019-09-06
Brazil,Dani Alves,5,0.224,0.0,45.1,0.005,0.0,2019-06-22
Romania,Ciprian Deac,2,0.223,0.0,38.6,0.0058,0.0,2019-03-26
Serbia,Zoran Tošić,8,0.222,0.0,39.4,0.0056,0.0,2015-10-11
Uruguay,Abel Hernández,6,0.195,0.027,43.2,0.0045,0.0006,2016-06-13
Montenegro,Marko Vešović,2,0.22,0.0,35.2,0.0063,0.0,2019-03-25
Madagascar,Faneva Imà Andriatsima,6,0.214,0.006,29.7,0.0072,0.0002,2019-07-07
DR Congo,Junior Kabananga,3,0.219,0.0,44.0,0.005,0.0,2017-01-24
Tunisia,Taha Yassine Khenissi,2,0.218,0.0,52.8,0.0041,0.0,2019-07-08
Japan,Takashi Inui,2,0.218,0.0,46.4,0.0047,0.0,2018-07-02
Ivory Coast,Serey Dié,2,0.217,0.0,46.1,0.0047,0.0,2019-07-01
Luxembourg,Stefano Bensi,4,0.216,0.0,34.0,0.0063,0.0,2018-11-18
Ivory Coast,Seydou Doumbia,3,0.216,0.0,46.1,0.0047,0.0,2017-09-02
United States,Omar Gonzalez,3,0.215,0.0,57.9,0.0037,0.0,2017-07-19
Belgium,Radja Nainggolan,4,0.215,0.0,44.8,0.0048,0.0,2016-07-01
China,Xiao Zhi,2,0.214,0.0,32.8,0.0065,0.0,2019-01-20
Cameroon,Benjamin Moukandjo,4,0.213,0.0,40.1,0.0053,0.0,2017-01-14
Honduras,Emilio Izaguirre,2,0.213,0.0,43.8,0.0049,0.0,2019-06-25
Northern Ireland,Jamie Ward,4,0.212,0.0,35.2,0.006,0.0,2017-03-26
Turkey,Arda Turan,11,0.212,0.0,43.9,0.0048,0.0,2015-09-06
Hungary,Kevin Varga,1,0.211,0.0,38.7,0.0055,0.0,2020-11-18
Lithuania,Modestas Vorobjovas,1,0.211,0.0,36.3,0.0058,0.0,2020-11-18
Norway,Ghayas Zahid,1,0.211,0.0,39.1,0.0054,0.0,2020-11-18
Northern Ireland,Liam Boyce,1,0.211,0.0,35.2,0.006,0.0,2020-11-18
Serbia,Filip Mladenović,1,0.211,0.0,39.4,0.0054,0.0,2020-11-18
Romania,Eric Bicfalvi,1,0.211,0.0,38.6,0.0055,0.0,2020-11-18
Hungary,Dávid Sigér,1,0.211,0.0,38.7,0.0055,0.0,2020-11-18
Kosovo,Lirim Kastrati,1,0.211,0.0,34.0,0.0062,0.0,2020-11-18
Faroe Islands,Ári Jónsson,1,0.211,0.0,33.9,0.0062,0.0,2020-11-17
Brazil,Arthur Melo,1,0.211,0.0,45.1,0.0047,0.0,2020-11-17
Venezuela,Luis Mago,1,0.211,0.0,37.3,0.0057,0.0,2020-11-17
Ecuador,Robert Arboleda,1,0.211,0.0,44.1,0.0048,0.0,2020-11-17
Bolivia,Boris Céspedes,1,0.211,0.0,40.6,0.0052,0.0,2020-11-17
Ecuador,Xavier Arreaga,1,0.211,0.0,44.1,0.0048,0.0,2020-11-17
Ukraine,Yevhen Seleznyov,7,0.121,0.09,39.0,0.0031,0.0023,2015-11-14
Cyprus,Demetris Christofi,5,0.171,0.04,35.3,0.0048,0.0011,2017-08-31
Kazakhstan,Aybol Abiken,1,0.211,0.0,35.6,0.0059,0.0,2020-11-15
Slovenia,Jasmin Kurtić,1,0.211,0.0,38.4,0.0055,0.0,2020-11-15
Bulgaria,Dimitar Iliev,1,0.0,0.211,35.6,0.0,0.0059,2020-11-15
Serbia,Aleksandar Prijović,2,0.211,0.0,39.4,0.0054,0.0,2018-11-20
Malta,Shaun Dimech,1,0.211,0.0,33.3,0.0063,0.0,2020-11-14
France,N'Golo Kanté,1,0.211,0.0,47.7,0.0044,0.0,2020-11-14
Iraq,Ahmed Yasin Ghani,4,0.211,0.0,51.5,0.0041,0.0,2017-03-23
Germany,Lukas Podolski,29,0.211,0.0,46.1,0.0046,0.0,2012-06-17
Ecuador,Carlos Gruezo,1,0.0,0.21,44.1,0.0,0.0048,2020-11-12
Ecuador,Beder Caicedo,1,0.21,0.0,44.1,0.0048,0.0,2020-11-12
Haiti,Wilde-Donald Guerrier,3,0.21,0.0,35.3,0.006,0.0,2019-06-29
Paraguay,Lucas Barrios,5,0.21,0.0,39.1,0.0054,0.0,2015-11-17
Belarus,Maksim Bordachyov,2,0.21,0.0,36.2,0.0058,0.0,2020-09-07
Jordan,Ahmed Samir,2,0.151,0.058,54.5,0.0028,0.0011,2019-09-05
Kuwait,Faisal Zayid,2,0.21,0.0,39.8,0.0053,0.0,2019-11-14
Greece,Kostas Mitroglou,4,0.209,0.0,36.4,0.0057,0.0,2018-10-12
New Caledonia,Roy Kayara,6,0.208,0.0,14.3,0.0145,0.0,2016-06-01
