fighter,division,elo,rank_elo,overall_rating,style,grappler_index,striker_index,SLpM,str_def,td_per15,td_def,ctrl_sec_per_round,sub_att_per15,finish_rate,gets_finished_rate,head_share,ground_strike_per15,ground_ctrl_share,distance_strike_diff15,finish_threat15,head_absorbed_per15,kd_absorbed_per15,age,stance,n_fights
Cameron Smotherman,Bantamweight,1426.3,1426.3,32.0,striker,0.185,0.686,3.82,0.598,0.88,0.625,28.4,0.25,0.0,0.25,0.607,2.93,0.108,4.73,0.4,30.25,0.193,28.8,Orthodox,4
Luan Lacerda,Bantamweight,1424.7,1424.7,35.9,wrestler,0.77,0.535,3.9,0.492,2.29,0.667,61.9,0.56,0.25,0.25,0.553,4.36,0.206,-11.26,0.65,44.22,0.169,33.4,Orthodox,4
Randy Costa,Bantamweight,1424.6,1424.6,34.0,striker,0.199,0.967,5.41,0.58,0.7,0.5,35.7,0.2,0.333,0.667,0.739,3.05,0.119,3.51,0.88,31.78,0.335,32.0,Switch,6
Kevin Croom,Bantamweight,1419.4,1419.4,30.3,balanced,0.419,0.519,3.19,0.419,1.12,0.3,60.4,0.49,0.0,0.25,0.597,2.75,0.201,1.83,0.73,29.41,0.544,38.9,Orthodox,4
Terrence Mitchell,Bantamweight,1416.0,1416.0,27.6,balanced,0.548,0.525,3.4,0.419,2.25,0.0,41.1,0.28,0.0,1.0,0.717,4.62,0.14,2.97,0.5,36.72,0.661,36.5,Orthodox,2
Kris Moutinho,Bantamweight,1409.8,1409.8,25.3,striker,0.195,0.642,3.54,0.305,0.88,0.3,30.8,0.25,0.0,0.75,0.582,2.56,0.103,-36.61,0.35,61.47,0.544,33.9,Southpaw,4
JP Buys,Bantamweight,1404.7,1404.7,25.9,grappler,0.575,0.385,2.68,0.374,1.05,0.286,32.8,1.34,0.0,0.75,0.552,3.3,0.112,-2.49,1.23,31.4,1.621,30.1,Orthodox,4
Aaron Phillips,Bantamweight,1402.5,1402.5,27.9,balanced,0.547,0.528,2.62,0.435,1.31,0.44,48.1,0.53,0.0,0.25,0.536,4.34,0.16,-3.88,0.63,34.2,0.169,36.9,Southpaw,4
Ricky Turcios,Bantamweight,1400.2,1400.2,28.8,striker,0.378,0.742,4.08,0.473,1.23,0.441,48.3,0.41,0.0,0.333,0.668,7.65,0.164,2.23,0.64,34.37,0.322,33.0,Orthodox,6
Jay Perrin,Bantamweight,1392.7,1392.7,29.4,wrestler,0.73,0.558,3.89,0.443,1.98,0.5,60.8,0.28,0.0,0.333,0.614,3.3,0.202,0.59,0.4,36.46,0.193,33.0,Switch,3
Saimon Oliveira,Bantamweight,1341.4,1341.4,18.1,grappler,0.582,0.488,3.2,0.416,0.98,0.333,38.5,1.04,0.0,0.75,0.577,5.15,0.131,-1.15,1.12,34.48,0.496,35.2,Orthodox,4
Alexander Volkanovski,Featherweight,1818.2,1818.2,90.8,balanced,0.506,0.889,5.68,0.587,1.61,0.689,55.0,0.26,0.278,0.111,0.652,12.1,0.183,20.84,0.58,29.27,0.188,37.3,Orthodox,18
Diego Lopes,Featherweight,1808.6,1808.6,89.0,balanced,0.522,0.753,3.9,0.464,1.07,0.742,35.9,0.89,0.5,0.0,0.698,11.15,0.121,-7.14,1.45,44.33,0.054,31.5,Orthodox,10
Movsar Evloev,Featherweight,1790.6,1790.6,89.3,wrestler,0.969,0.571,4.02,0.613,3.85,0.611,89.7,0.29,0.0,0.0,0.736,9.27,0.299,7.98,0.43,27.44,0.05,32.1,Orthodox,10
Aljamain Sterling,Featherweight,1781.8,1781.8,88.4,wrestler,0.853,0.635,4.26,0.592,2.39,0.449,86.8,0.62,0.261,0.087,0.523,10.54,0.289,14.63,0.67,17.64,0.208,36.7,Orthodox,23
Lerone Murphy,Featherweight,1777.8,1777.8,86.2,striker,0.473,0.873,4.33,0.604,1.28,0.441,39.8,0.48,0.273,0.0,0.641,6.04,0.133,15.74,0.8,24.34,0.176,34.7,Orthodox,11
Jean Silva,Featherweight,1753.3,1753.3,83.6,striker,0.423,0.954,4.47,0.533,1.34,0.781,20.3,0.68,0.714,0.143,0.653,4.49,0.068,5.13,1.47,32.62,0.2,29.1,Orthodox,7
Arnold Allen,Featherweight,1726.5,1726.5,78.2,balanced,0.524,0.638,3.69,0.602,1.3,0.731,42.7,0.33,0.267,0.0,0.719,4.43,0.142,4.79,0.63,26.11,0.037,32.3,Southpaw,15
Joanderson Brito,Featherweight,1725.0,1725.0,79.5,grappler,0.997,0.518,2.58,0.437,2.64,0.476,82.9,1.04,0.6,0.0,0.547,5.62,0.273,1.58,1.13,23.68,0.113,31.4,Orthodox,10
Pat Sabatini,Featherweight,1724.6,1724.6,77.3,grappler,1.0,0.46,2.25,0.541,3.53,0.5,150.7,1.1,0.273,0.182,0.689,9.52,0.502,-0.97,1.13,14.74,0.19,35.6,Orthodox,11
Steve Garcia,Featherweight,1715.2,1715.2,78.2,striker,0.459,0.947,4.29,0.631,1.05,0.786,39.1,0.47,0.636,0.182,0.729,13.84,0.131,16.13,1.56,20.24,0.68,34.1,Southpaw,11
Kevin Vallejos,Featherweight,1773.5,1715.1,88.1,striker,0.369,0.95,4.99,0.587,1.29,0.9,37.7,0.27,0.75,0.0,0.667,7.99,0.126,8.02,1.38,28.43,0.087,24.3,Switch,4
Melquizael Costa,Featherweight,1712.9,1712.9,76.4,balanced,0.518,0.704,4.3,0.504,1.53,0.509,45.4,0.75,0.4,0.2,0.522,5.63,0.151,14.84,1.01,29.82,0.229,29.7,Southpaw,10
Nathaniel Wood,Featherweight,1686.6,1686.6,74.3,balanced,0.528,0.769,5.23,0.545,1.38,0.733,44.2,0.51,0.214,0.071,0.567,6.0,0.147,15.14,0.82,36.89,0.257,33.1,Orthodox,14
Yair Rodriguez,Featherweight,1686.4,1686.4,71.8,striker,0.327,0.896,4.58,0.528,0.87,0.594,27.9,0.62,0.312,0.188,0.574,9.45,0.093,13.69,0.94,36.16,0.035,32.5,Orthodox,16
Youssef Zalal,Featherweight,1685.9,1685.9,72.9,balanced,0.661,0.581,3.14,0.649,1.76,0.558,73.0,1.11,0.308,0.0,0.64,4.27,0.243,11.65,1.29,19.23,0.041,29.6,Switch,13
Chan Sung Jung,Featherweight,1680.6,1680.6,70.6,balanced,0.48,0.665,3.77,0.501,0.97,0.714,37.3,0.68,0.5,0.333,0.759,6.68,0.124,-9.91,0.89,33.23,0.467,39.3,Orthodox,12
Brian Ortega,Featherweight,1675.3,1675.3,70.4,balanced,0.398,0.658,3.94,0.493,1.06,0.545,28.7,0.85,0.5,0.143,0.7,3.74,0.096,-21.09,1.18,55.63,0.15,34.5,Switch,14
Cub Swanson,Featherweight,1668.6,1668.6,70.2,striker,0.345,1.0,5.09,0.585,0.79,0.726,24.3,0.17,0.308,0.269,0.606,5.39,0.081,8.83,0.64,38.23,0.202,42.6,Orthodox,26
David Onama,Featherweight,1654.2,1654.2,68.7,striker,0.435,0.93,4.83,0.519,1.19,0.526,53.6,0.48,0.333,0.111,0.755,9.14,0.179,2.33,1.01,40.57,0.252,31.4,Orthodox,9
Chepe Mariscal,Featherweight,1646.4,1646.4,68.0,wrestler,0.768,0.613,4.0,0.524,2.01,0.593,70.6,0.36,0.167,0.0,0.644,10.13,0.235,3.03,0.43,24.07,0.148,33.6,Orthodox,6
Ricardo Lamas,Featherweight,1641.0,1641.0,65.9,balanced,0.58,0.658,3.49,0.567,1.75,0.419,60.9,0.81,0.412,0.176,0.517,7.3,0.203,-1.06,0.92,29.09,0.326,44.1,Orthodox,17
William Gomis,Featherweight,1638.3,1638.3,64.3,striker,0.42,0.714,3.41,0.616,1.02,0.776,46.5,0.41,0.143,0.0,0.493,2.26,0.155,4.49,0.48,21.97,0.134,29.0,Southpaw,7
Mairon Santos,Featherweight,1709.0,1638.2,75.0,striker,0.203,0.792,3.56,0.656,0.76,0.692,33.0,0.31,0.5,0.0,0.559,3.28,0.11,5.01,0.68,24.37,0.184,26.0,Orthodox,4
Shane Burgos,Featherweight,1634.7,1634.7,66.5,striker,0.386,0.985,6.44,0.564,0.72,0.915,34.8,0.48,0.273,0.182,0.634,7.14,0.116,1.11,0.93,54.41,0.453,35.3,Orthodox,11
Dooho Choi,Featherweight,1632.6,1632.6,67.3,balanced,0.564,0.881,4.65,0.57,1.34,0.593,47.7,0.56,0.6,0.2,0.674,7.24,0.159,2.96,1.09,35.01,0.427,35.2,Orthodox,10
Jose Delgado,Featherweight,1631.9,1631.9,66.9,striker,0.279,1.0,5.75,0.507,0.98,0.385,33.7,0.31,0.5,0.0,0.602,8.73,0.112,7.62,0.97,38.02,0.372,28.2,Switch,4
Chas Skelly,Featherweight,1622.8,1622.8,64.1,grappler,0.922,0.459,2.46,0.49,1.68,0.391,85.2,1.86,0.5,0.083,0.803,3.53,0.284,-3.72,1.79,30.98,0.259,41.1,Orthodox,12
Josh Emmett,Featherweight,1622.0,1622.0,61.6,balanced,0.37,0.69,3.79,0.596,1.15,0.438,27.0,0.16,0.235,0.235,0.644,5.7,0.09,-7.91,0.9,41.9,0.249,41.0,Orthodox,17
Dan Ige,Featherweight,1617.4,1617.4,61.0,striker,0.283,0.824,3.61,0.559,0.87,0.568,35.7,0.15,0.286,0.048,0.646,6.72,0.119,-1.13,0.49,36.14,0.194,34.9,Orthodox,21
Calvin Kattar,Featherweight,1614.4,1614.4,61.1,striker,0.225,0.821,4.27,0.548,0.59,0.773,17.1,0.18,0.267,0.067,0.745,3.82,0.057,-25.79,0.47,50.22,0.128,38.2,Orthodox,15
Christian Rodriguez,Featherweight,1609.0,1609.0,62.5,grappler,0.829,0.549,3.62,0.563,1.8,0.658,66.8,1.0,0.2,0.1,0.696,7.37,0.221,3.88,1.06,28.64,0.113,28.5,Orthodox,10
Ryan Hall,Featherweight,1608.0,1608.0,60.3,grappler,0.656,0.53,2.94,0.659,0.74,0.0,54.1,1.58,0.167,0.167,0.503,8.62,0.18,7.36,1.87,18.44,0.148,41.3,Southpaw,6
Sean Woodson,Featherweight,1603.0,1603.0,61.5,striker,0.411,0.91,5.25,0.59,0.87,0.868,30.3,0.44,0.2,0.2,0.685,2.14,0.101,16.48,0.73,31.99,0.27,34.0,Orthodox,10
Giga Chikadze,Featherweight,1602.2,1602.2,59.1,striker,0.272,0.815,3.83,0.611,0.53,0.688,17.0,0.3,0.25,0.083,0.589,4.5,0.057,2.98,0.75,32.16,0.229,37.8,Orthodox,12
Julio Arce,Featherweight,1601.3,1601.3,60.5,striker,0.301,0.771,4.02,0.684,0.78,0.962,27.7,0.44,0.4,0.1,0.691,2.12,0.092,11.73,0.71,23.69,0.423,36.6,Southpaw,10
Daniel Santos,Featherweight,1592.4,1592.4,61.2,wrestler,0.743,0.653,4.6,0.505,2.17,0.733,70.2,0.25,0.333,0.167,0.649,8.43,0.234,-8.76,0.57,44.85,0.388,31.3,Orthodox,6
Morgan Charriere,Featherweight,1590.6,1590.6,60.6,wrestler,0.708,0.686,3.93,0.539,1.84,0.833,49.1,0.43,0.5,0.167,0.609,3.57,0.164,-2.29,0.88,34.07,0.424,30.7,Orthodox,6
Aaron Pico,Featherweight,1589.8,1589.8,58.5,wrestler,0.826,0.707,4.92,0.452,3.18,0.0,58.0,0.36,0.0,0.5,0.693,6.98,0.193,17.91,0.7,29.05,0.367,29.5,Orthodox,2
Muhammad Naimov,Featherweight,1589.4,1589.4,55.6,balanced,0.546,0.536,2.85,0.447,1.69,0.735,61.1,0.35,0.286,0.286,0.605,4.53,0.204,-2.76,0.51,20.98,0.24,31.9,Orthodox,7
Jordan Leavitt,Featherweight,1588.7,1588.7,58.3,wrestler,0.854,0.532,2.62,0.588,2.53,0.3,80.5,0.78,0.4,0.3,0.358,3.15,0.265,5.83,0.86,15.14,0.113,31.0,Southpaw,10
Gabriel Santos,Featherweight,1587.9,1587.9,59.9,grappler,0.953,0.629,4.06,0.454,2.66,0.875,75.6,0.9,0.25,0.25,0.592,7.23,0.252,-1.13,1.09,37.46,0.457,29.6,Orthodox,4
Alex Caceres,Featherweight,1587.2,1587.2,57.9,striker,0.445,0.815,4.16,0.628,0.66,0.649,36.3,0.66,0.2,0.2,0.625,3.57,0.121,11.89,0.82,25.63,0.215,38.0,Southpaw,30
Jamall Emmers,Featherweight,1584.2,1584.2,60.5,wrestler,0.865,0.69,4.54,0.593,2.39,0.8,75.0,0.43,0.222,0.222,0.584,5.73,0.25,7.82,0.8,31.01,0.223,36.9,Orthodox,9
Kaan Ofli,Featherweight,1583.2,1583.2,54.8,balanced,0.408,0.53,3.05,0.54,0.95,0.0,58.7,0.5,0.25,0.25,0.513,3.23,0.196,-7.78,0.58,30.29,0.518,33.0,Orthodox,4
Yadier del Valle,Featherweight,1582.0,1582.0,60.4,grappler,0.88,0.431,2.62,0.643,1.16,0.556,62.7,1.55,0.667,0.0,0.505,5.18,0.209,-0.77,1.5,20.61,0.211,29.9,Southpaw,3
Danny Silva,Featherweight,1575.5,1575.5,58.3,wrestler,0.645,0.631,3.99,0.624,1.8,0.733,46.4,0.46,0.25,0.0,0.63,3.01,0.155,-7.4,0.82,41.0,0.184,29.4,Switch,4
Josh Culibao,Featherweight,1575.0,1575.0,53.5,striker,0.183,0.749,3.53,0.599,0.51,0.656,29.5,0.4,0.125,0.125,0.614,3.64,0.098,8.98,0.82,27.7,0.214,32.1,Orthodox,8
Jack Shore,Featherweight,1571.2,1571.2,57.1,grappler,0.872,0.595,3.66,0.564,2.7,0.741,75.1,0.62,0.333,0.333,0.67,6.97,0.25,6.15,0.82,18.25,0.302,31.4,Orthodox,9
Darren Elkins,Featherweight,1564.4,1564.4,56.2,grappler,0.95,0.54,3.44,0.512,2.71,0.561,95.9,1.02,0.233,0.167,0.744,9.8,0.319,-4.7,1.04,33.58,0.252,42.1,Orthodox,30
Julian Erosa,Featherweight,1557.4,1557.4,55.5,balanced,0.539,0.772,5.65,0.492,1.76,0.615,39.6,0.72,0.333,0.389,0.655,4.64,0.132,-5.35,0.71,51.08,0.768,36.9,Southpaw,18
Mirsad Bektic,Featherweight,1556.1,1556.1,54.3,wrestler,0.979,0.498,2.81,0.578,3.28,0.923,127.4,0.49,0.3,0.3,0.771,12.46,0.425,1.05,0.7,19.75,0.292,35.3,Orthodox,10
John Castaneda,Featherweight,1552.2,1552.2,54.2,balanced,0.492,0.761,4.74,0.529,1.45,0.783,48.3,0.28,0.222,0.111,0.586,3.5,0.161,-2.26,0.68,44.4,0.373,34.5,Switch,9
Jonathan Pearce,Featherweight,1549.1,1549.1,55.3,wrestler,1.0,0.622,4.05,0.549,3.94,0.5,102.3,0.79,0.333,0.333,0.678,13.05,0.341,-2.02,0.8,30.46,0.113,34.1,Switch,9
Hakeem Dawodu,Featherweight,1547.9,1547.9,51.8,striker,0.177,0.861,4.97,0.566,0.43,0.653,34.6,0.18,0.1,0.1,0.507,1.94,0.116,19.95,0.31,32.44,0.182,35.0,Orthodox,10
Bill Algeo,Featherweight,1543.1,1543.1,52.8,balanced,0.551,0.744,4.92,0.491,1.26,0.538,51.9,0.27,0.2,0.2,0.58,6.96,0.173,10.03,0.49,33.4,0.105,37.0,Switch,10
Isaac Dulgarian,Featherweight,1542.4,1542.4,53.5,grappler,1.0,0.567,3.38,0.407,3.05,0.0,124.5,1.23,0.5,0.25,0.771,19.45,0.415,-1.94,1.27,26.1,0.184,30.0,Orthodox,4
Billy Quarantillo,Featherweight,1541.3,1541.3,54.8,grappler,0.755,0.776,6.17,0.43,1.57,0.614,65.6,0.97,0.364,0.273,0.675,12.62,0.219,0.55,1.08,47.75,0.334,37.5,Orthodox,11
Alejandro Perez,Featherweight,1541.0,1541.0,50.0,striker,0.265,0.704,3.53,0.617,0.77,0.71,25.4,0.39,0.308,0.154,0.619,6.49,0.085,-2.58,0.5,24.11,0.469,36.8,Orthodox,13
Makwan Amirkhani,Featherweight,1535.7,1535.7,49.5,grappler,0.981,0.394,1.87,0.461,3.42,0.357,80.6,0.95,0.357,0.286,0.807,5.65,0.269,-7.59,0.96,25.51,0.549,37.6,Southpaw,14
Yizha,Featherweight,1533.8,1533.8,50.9,wrestler,0.666,0.628,3.49,0.464,2.07,0.778,54.5,0.31,0.25,0.0,0.644,4.53,0.182,1.21,0.86,29.21,0.334,29.4,Orthodox,4
Jack Jenkins,Featherweight,1531.0,1531.0,50.1,balanced,0.581,0.74,4.3,0.58,1.55,0.7,52.9,0.37,0.167,0.333,0.558,7.06,0.176,8.75,0.75,27.88,0.148,32.6,Switch,6
Nate Landwehr,Featherweight,1528.6,1528.6,49.5,striker,0.413,0.848,5.08,0.512,0.94,0.719,35.3,0.7,0.273,0.455,0.703,3.75,0.118,-9.04,0.77,48.56,0.74,38.0,Orthodox,11
Michael Trizano,Featherweight,1525.9,1525.9,47.3,striker,0.464,0.811,3.68,0.506,0.78,0.727,41.7,0.57,0.143,0.286,0.562,4.22,0.139,-6.69,0.93,28.73,0.452,34.5,Orthodox,7
Gavin Tucker,Featherweight,1521.8,1521.8,50.7,grappler,0.834,0.556,4.11,0.574,2.54,0.538,49.5,1.15,0.286,0.286,0.616,3.45,0.165,11.69,1.08,33.53,0.471,40.0,Southpaw,7
Fernando Padilla,Featherweight,1518.7,1518.7,48.8,striker,0.225,0.883,4.92,0.521,0.76,1.0,30.7,0.62,0.5,0.25,0.639,7.23,0.102,-4.94,1.16,38.46,0.434,29.5,Orthodox,4
Daniel Pineda,Featherweight,1509.6,1509.6,47.2,grappler,0.765,0.529,3.06,0.458,1.44,0.547,62.2,1.34,0.357,0.143,0.66,10.94,0.207,-7.51,1.35,28.08,0.393,40.9,Orthodox,14
Kron Gracie,Featherweight,1507.7,1507.7,44.5,balanced,0.383,0.541,3.36,0.516,0.93,0.0,31.5,0.66,0.25,0.25,0.693,2.88,0.105,-11.24,0.71,40.46,0.184,37.9,Southpaw,4
Danny Henry,Featherweight,1507.1,1507.1,47.1,grappler,0.765,0.704,4.49,0.458,1.13,0.5,55.8,1.43,0.25,0.5,0.664,12.23,0.186,0.06,1.66,29.71,0.434,37.9,Orthodox,4
Douglas Silva de Andrade,Featherweight,1505.2,1505.2,44.4,striker,0.321,0.76,3.59,0.566,0.75,0.717,24.1,0.28,0.214,0.214,0.544,2.02,0.08,-0.2,0.71,36.11,0.282,41.0,Orthodox,14
Steven Peterson,Featherweight,1502.8,1502.8,47.1,balanced,0.557,0.638,4.37,0.533,1.4,0.64,62.2,0.75,0.125,0.0,0.653,5.56,0.207,-16.47,0.88,52.28,0.21,36.1,Orthodox,8
Luis Saldana,Featherweight,1499.6,1499.6,45.0,striker,0.344,0.817,4.29,0.581,1.13,0.444,44.2,0.44,0.0,0.0,0.555,3.48,0.147,3.81,0.78,36.08,0.309,35.4,Orthodox,4
Melsik Baghdasaryan,Featherweight,1492.6,1492.6,41.2,striker,0.165,0.831,4.14,0.579,0.61,0.714,27.0,0.25,0.167,0.5,0.527,3.19,0.096,8.85,0.51,25.08,0.315,34.4,Southpaw,6
JeongYeong Lee,Featherweight,1492.2,1492.2,41.8,striker,0.454,0.71,3.47,0.513,1.08,0.738,41.5,0.31,0.0,0.25,0.634,5.28,0.138,-5.99,0.41,33.86,0.184,30.6,Orthodox,4
Mike Grundy,Featherweight,1489.8,1489.8,43.4,wrestler,0.698,0.514,2.94,0.563,2.79,0.5,47.9,0.5,0.25,0.25,0.676,3.57,0.16,-16.94,0.74,34.62,0.184,39.5,Orthodox,4
Ricardo Ramos,Featherweight,1487.5,1487.5,43.2,wrestler,0.78,0.5,3.1,0.548,2.3,0.679,40.6,0.91,0.2,0.333,0.621,3.06,0.135,-9.81,1.09,32.29,0.23,30.9,Orthodox,15
Kevin Aguilar,Featherweight,1482.9,1482.9,40.5,striker,0.253,0.719,3.96,0.523,0.72,0.81,32.3,0.25,0.0,0.167,0.6,4.44,0.108,-7.11,0.44,41.07,0.485,37.8,Orthodox,6
Felipe Colares,Featherweight,1482.3,1482.3,39.4,balanced,0.554,0.505,2.81,0.369,1.73,0.432,66.9,0.56,0.0,0.167,0.614,4.59,0.223,-12.76,0.63,43.87,0.348,32.2,Orthodox,6
Hyder Amil,Featherweight,1481.9,1481.9,44.1,striker,0.346,0.953,5.56,0.51,1.03,0.417,39.5,0.67,0.333,0.333,0.636,5.76,0.134,13.6,0.86,36.13,0.331,36.1,Switch,6
Andre Ewell,Featherweight,1480.9,1480.9,40.3,striker,0.358,0.727,4.13,0.514,0.71,0.727,23.0,0.27,0.0,0.333,0.598,1.76,0.077,4.28,0.41,35.77,0.273,38.4,Southpaw,9
Tristan Connelly,Featherweight,1479.7,1479.7,40.7,striker,0.361,0.732,3.58,0.509,1.01,0.6,51.9,0.5,0.0,0.0,0.67,7.55,0.173,0.49,0.61,32.67,0.354,40.5,Orthodox,3
Charles Rosa,Featherweight,1474.8,1474.8,41.7,grappler,0.702,0.442,3.25,0.472,1.64,0.38,43.6,0.91,0.154,0.077,0.571,3.64,0.145,-0.71,0.94,37.63,0.273,39.8,Switch,13
TJ Brown,Featherweight,1474.1,1474.1,42.2,grappler,0.966,0.504,3.51,0.493,2.58,0.32,74.3,1.1,0.125,0.375,0.687,4.55,0.248,1.89,1.09,29.15,0.396,36.1,Switch,8
Chris Fishgold,Featherweight,1472.8,1472.8,39.7,grappler,0.764,0.407,2.9,0.469,2.05,0.444,41.8,0.96,0.25,0.5,0.626,3.11,0.139,1.43,0.97,31.08,0.372,34.0,Orthodox,4
SeungWoo Choi,Featherweight,1472.1,1472.1,38.5,striker,0.466,0.758,3.62,0.47,1.02,0.705,49.6,0.17,0.091,0.455,0.605,5.77,0.165,2.51,0.68,28.12,0.74,33.6,Orthodox,11
Shayilan Nuerdanbieke,Featherweight,1470.9,1470.9,40.3,wrestler,0.864,0.524,2.68,0.504,2.59,0.286,96.1,0.39,0.167,0.333,0.748,6.99,0.32,-8.4,0.81,25.41,0.268,32.1,Orthodox,6
Spike Carlyle,Featherweight,1470.2,1470.2,41.9,wrestler,0.826,0.556,3.25,0.301,2.3,0.571,78.3,0.56,0.333,0.0,0.715,10.1,0.261,-4.73,0.65,34.97,0.211,33.1,Switch,3
Darrick Minner,Featherweight,1464.5,1464.5,38.9,grappler,1.0,0.536,2.96,0.343,2.13,0.667,88.5,1.96,0.167,0.5,0.602,7.59,0.295,4.14,1.83,25.47,0.298,36.1,Orthodox,6
Luke Sanders,Featherweight,1463.5,1463.5,40.6,striker,0.376,0.985,5.67,0.508,0.98,0.727,44.8,0.37,0.25,0.5,0.745,13.2,0.149,5.95,0.9,27.72,0.373,40.5,Southpaw,8
Jarno Errens,Featherweight,1462.8,1462.8,36.9,striker,0.212,0.745,3.54,0.619,0.76,0.333,31.5,0.46,0.0,0.25,0.551,2.73,0.105,0.61,0.86,29.21,0.334,31.6,Orthodox,4
Eduardo Garagorri,Featherweight,1459.5,1459.5,35.9,striker,0.443,0.736,3.63,0.582,1.07,0.618,37.7,0.36,0.0,0.667,0.665,4.78,0.125,5.74,0.47,27.44,0.211,37.1,Orthodox,3
Jordan Griffin,Featherweight,1456.9,1456.9,40.4,grappler,0.828,0.487,3.05,0.506,1.52,0.421,67.5,1.25,0.2,0.0,0.757,6.12,0.225,-0.28,1.32,32.84,0.164,36.3,Southpaw,5
Lucas Almeida,Featherweight,1453.4,1453.4,35.0,striker,0.174,0.802,4.23,0.434,0.61,0.545,29.4,0.25,0.167,0.5,0.569,5.51,0.098,3.66,0.74,36.43,0.701,35.4,Orthodox,6
Kai Kamaka,Featherweight,1452.4,1452.4,39.1,balanced,0.65,0.704,4.37,0.555,1.72,0.529,65.9,0.45,0.0,0.25,0.527,4.37,0.22,2.15,0.68,40.46,0.184,31.5,Orthodox,4
Ramon Taveras,Featherweight,1447.9,1447.9,36.0,striker,0.217,0.733,3.82,0.534,0.87,0.727,34.0,0.36,0.0,0.0,0.718,3.98,0.113,-16.65,0.61,37.38,0.211,32.4,Southpaw,3
Danny Chavez,Featherweight,1447.3,1447.3,35.6,balanced,0.512,0.521,3.32,0.51,1.73,0.875,33.8,0.31,0.0,0.25,0.588,4.53,0.113,-6.74,0.41,28.16,0.334,39.3,Orthodox,4
Austin Lingo,Featherweight,1447.0,1447.0,36.5,striker,0.43,0.725,3.82,0.574,0.92,0.756,38.6,0.28,0.0,0.2,0.658,2.43,0.129,-6.7,0.6,35.11,0.164,31.9,Orthodox,5
Blake Bilder,Featherweight,1446.2,1446.2,36.5,striker,0.342,0.739,3.83,0.535,1.01,0.714,56.9,0.36,0.0,0.0,0.579,3.41,0.19,-0.08,0.47,32.95,0.211,35.9,Switch,3
Justin Jaynes,Featherweight,1445.6,1445.6,36.6,grappler,0.654,0.584,3.54,0.629,1.09,0.2,35.1,0.9,0.2,0.6,0.683,4.26,0.117,-13.23,1.2,38.46,0.331,36.9,Orthodox,5
Dennis Buzukja,Featherweight,1445.4,1445.4,35.3,striker,0.186,0.781,4.28,0.534,0.67,0.571,30.9,0.28,0.2,0.4,0.595,3.79,0.103,-0.85,0.51,35.54,0.618,28.7,Switch,5
Bogdan Grad,Featherweight,1445.0,1445.0,38.4,wrestler,0.857,0.569,3.37,0.488,3.02,0.75,78.1,0.36,0.333,0.333,0.637,10.1,0.26,-4.37,0.47,26.34,0.394,30.7,Orthodox,3
Tucker Lutz,Featherweight,1440.8,1440.8,34.8,balanced,0.55,0.573,3.59,0.424,1.75,0.6,58.4,0.31,0.0,0.25,0.576,3.14,0.195,-0.17,0.41,29.55,0.321,31.9,Orthodox,4
Westin Wilson,Featherweight,1439.6,1439.6,31.8,grappler,0.637,0.388,2.68,0.304,1.55,0.333,30.2,2.81,0.25,0.75,0.578,2.73,0.101,-10.19,2.28,37.83,1.309,37.4,Southpaw,4
Herbert Burns,Featherweight,1438.9,1438.9,34.0,grappler,0.795,0.441,2.63,0.414,2.49,0.5,48.2,1.19,0.333,0.667,0.571,3.99,0.161,-7.88,1.14,35.91,0.802,38.4,Orthodox,6
Michael Aswell Jr.,Featherweight,1437.4,1437.4,37.3,striker,0.433,0.798,4.13,0.511,0.92,0.0,38.5,0.31,0.25,0.0,0.705,4.96,0.134,-7.86,0.83,48.2,0.211,30.0,nan,4
Gabriel Miranda,Featherweight,1436.8,1436.8,34.4,grappler,0.83,0.51,3.5,0.379,3.13,0.0,42.3,1.26,0.25,0.75,0.606,2.73,0.141,-4.69,0.91,34.96,1.684,36.2,Orthodox,4
Marcelo Rojo,Featherweight,1426.7,1426.7,30.4,striker,0.403,0.736,4.27,0.551,1.06,0.667,32.0,0.36,0.0,1.0,0.563,3.93,0.107,-2.28,0.47,41.31,0.693,38.0,Orthodox,3
Erik Silva,Featherweight,1425.2,1425.2,28.7,wrestler,0.719,0.508,2.82,0.378,2.01,0.6,43.4,0.36,0.0,1.0,0.587,3.38,0.144,-0.25,0.47,24.21,0.211,39.3,Orthodox,3
Jeka Saragih,Featherweight,1410.2,1410.2,26.8,balanced,0.465,0.611,2.85,0.276,1.36,0.667,32.0,0.31,0.25,0.75,0.499,4.23,0.107,-1.94,0.71,30.26,0.484,31.5,Orthodox,4
Lucas Alexander,Featherweight,1409.3,1409.3,28.1,striker,0.225,0.836,4.24,0.565,0.76,0.6,38.8,0.31,0.0,0.75,0.571,4.45,0.129,17.34,0.62,28.24,0.399,30.9,Orthodox,4
Fernie Garcia,Featherweight,1406.8,1406.8,28.7,balanced,0.466,0.46,2.84,0.495,0.9,0.444,31.7,0.6,0.0,0.25,0.655,3.14,0.106,-8.08,0.68,31.32,0.321,34.2,Orthodox,4
Shane Young,Featherweight,1396.9,1396.9,29.8,striker,0.27,0.801,4.68,0.525,0.95,0.64,32.2,0.23,0.143,0.286,0.59,1.99,0.107,0.39,0.42,43.59,0.253,32.9,Orthodox,7
