date,home,away,home_ml,away_ml,p_home_close,p_away_close,vig,n_books
2021-04-03,Philadelphia Phillies,Atlanta Braves,-106,-110,0.49497,0.50503,0.03719,4
2021-04-03,San Diego Padres,Arizona Diamondbacks,-215,182,0.65849,0.34151,0.03652,4
2021-04-03,Seattle Mariners,San Francisco Giants,-114,-103,0.51268,0.48732,0.04119,4
2021-04-04,Athletics,Houston Astros,-112,-106,0.50769,0.49231,0.04279,4
2021-04-04,Boston Red Sox,Baltimore Orioles,-173,149,0.61209,0.38791,0.03531,4
2021-04-04,Chicago Cubs,Pittsburgh Pirates,-190,164,0.63321,0.36679,0.03468,4
2021-04-04,Cincinnati Reds,St. Louis Cardinals,100,-118,0.48066,0.51934,0.04023,4
2021-04-04,Colorado Rockies,Los Angeles Dodgers,205,-240,0.31716,0.68284,0.03375,4
2021-04-04,Kansas City Royals,Texas Rangers,-175,152,0.61592,0.38408,0.03319,4
2021-04-04,Los Angeles Angels,Chicago White Sox,108,-124,0.46586,0.53414,0.0345,4
2021-04-04,Milwaukee Brewers,Minnesota Twins,-112,-105,0.50721,0.49279,0.03938,4
2021-04-04,New York Yankees,Toronto Blue Jays,-182,158,0.62455,0.37545,0.03437,4
2021-04-04,Philadelphia Phillies,Atlanta Braves,100,-116,0.48214,0.51786,0.03704,4
