team,matches_3y,per_year,app_frac
Nicaragua,29,9.7,0.879
Niger,27,9.0,0.9
Nigeria,45,15.0,0.6
Niue,0,0.0,0.75
North Korea,18,6.0,0.9
North Macedonia,30,10.0,0.85
North Vietnam,0,0.0,0.75
Northern Cyprus,0,0.0,0.75
Northern Ireland,30,10.0,0.85
Northern Mariana Islands,6,2.0,0.9
Norway,33,11.0,0.773
Occitania,0,0.0,0.75
Oman,39,13.0,0.654
Orkney,7,2.3,0.9
Padania,0,0.0,0.75
Pakistan,16,5.3,0.9
Palau,0,0.0,0.75
Palestine,33,11.0,0.773
Panama,51,17.0,0.6
Panjab,0,0.0,0.75
Papua New Guinea,21,7.0,0.9
Paraguay,34,11.3,0.75
Parishes of Jersey,0,0.0,0.75
Peru,32,10.7,0.797
Philippines,28,9.3,0.9
Poland,33,11.0,0.773
Portugal,39,13.0,0.654
Provence,0,0.0,0.75
Puerto Rico,25,8.3,0.9
Qatar,47,15.7,0.6
Quebec,0,0.0,0.75
Raetia,1,0.3,0.9
Republic of Ireland,31,10.3,0.823
Republic of St. Pauli,0,0.0,0.75
Rhodes,0,0.0,0.75
Romani people,0,0.0,0.75
Romania,34,11.3,0.75
Russia,23,7.7,0.9
Rwanda,21,7.0,0.9
Ryūkyū,0,0.0,0.75
Réunion,4,1.3,0.9
Saare County,0,0.0,0.75
Saarland,0,0.0,0.75
Saint Barthélemy,0,0.0,0.75
Saint Helena,4,1.3,0.9
Saint Kitts and Nevis,29,9.7,0.879
Saint Lucia,19,6.3,0.9
Saint Martin,16,5.3,0.9
Saint Pierre and Miquelon,0,0.0,0.75
Saint Vincent and the Grenadines,29,9.7,0.879
Samoa,14,4.7,0.9
San Marino,30,10.0,0.85
Sark,0,0.0,0.75
Saudi Arabia,55,18.3,0.6
Saugeais,0,0.0,0.75
Scotland,36,12.0,0.708
Sealand,0,0.0,0.75
Seborga,0,0.0,0.75
Senegal,44,14.7,0.6
Serbia,32,10.7,0.797
Seychelles,15,5.0,0.9
Shetland,7,2.3,0.9
Sierra Leone,24,8.0,0.9
Silesia,0,0.0,0.75
Singapore,30,10.0,0.85
Sint Maarten,16,5.3,0.9
Slovakia,34,11.3,0.75
Slovenia,35,11.7,0.729
Solomon Islands,23,7.7,0.9
Somalia,16,5.3,0.9
Somaliland,0,0.0,0.75
South Africa,49,16.3,0.6
South Korea,40,13.3,0.637
South Ossetia,0,0.0,0.75
South Sudan,21,7.0,0.9
South Yemen,0,0.0,0.75
Spain,40,13.3,0.637
Sri Lanka,21,7.0,0.9
Sudan,30,10.0,0.85
Suriname,27,9.0,0.9
