player,team,apps,npxg,goals,shots,pen_sh,pen_g,fk_sh,fk_xg,fk_g,assists,xa,key_passes
Mohamed Hamdy Sharaf,Egypt,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,4.2
Logan Costa,Cape Verde Islands,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.7
Carlos Miguel Pereira Fernandes,Cape Verde Islands,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Ratifo,Mozambique,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edmilson Gabriel Dove,Mozambique,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.8
Elias Gaspar Pelembe,Mozambique,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,1.7
Ernan Alberto Siluane,Mozambique,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josimar José Évora Dias,Cape Verde Islands,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaquille Momad Nangy,Mozambique,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.8
Enzo Gianni Tchato Mbiayi,Cameroon,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203,1.7
Faris Pemi Moumbagna,Cameroon,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.8
Harold Moukoudi,Cameroon,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yusupha Bobb,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammed Sanneh,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Fabrice Ondoa Ebogo,Cameroon,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bubacarr Sanneh,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baboucarr Gaye,Gambia,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Tchamadeu,Cameroon,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yvan Neyou Noupa,Cameroon,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Bobo Nwabali,Nigeria,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janio Bikel Figueiredo Silva,Guinea-Bissau,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.8
Edgar Miguel Ié,Guinea-Bissau,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Mendes Gomes,Guinea-Bissau,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raphael Onyedika,Nigeria,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chidozie Collins Awaziem,Nigeria,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonas Asvedo Mendes,Guinea-Bissau,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eulânio Ângelo Chipela Gomes,Guinea-Bissau,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houboulang Mendes,Guinea-Bissau,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa Diarra,Mali,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denzil Haoseb,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Papama,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vetunuavi Charles Hambira,Namibia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djigui Diarra,Mali,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lubeni Haukongo,Namibia,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikou Niakate,Mali,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.8
Youssoufou Niakaté,Mali,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.8
Ivan Kamberipa,Namibia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.8
Lloyd Junior Kazapua,Namibia,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stopilla Sunzu,Zambia,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roderick Kabwe,Zambia,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.8
