player,team,apps,npxg,goals,shots,pen_sh,pen_g,fk_sh,fk_xg,fk_g,assists,xa,key_passes
Abdulia Sanyang,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebou Adams,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibou Touray,Gambia,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idrissa Doumbia,Côte d'Ivoire,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fágner Conserva Lemos,Brazil,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.8
Eiji Kawashima,Japan,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotaru Yamaguchi,Japan,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaime Manuel Penedo Cano,Panama,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Enrique Gómez Girón,Panama,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.5
Abdiel Arroyo Molinar,Panama,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.9
Khadim N'Diaye,Senegal,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pape Moussa Konaté,Senegal,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michał Pazdan,Poland,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Milivojević,Serbia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.5
Duško Tošić,Serbia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branislav Ivanović,Serbia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,1.8
Vladimir Stojković,Serbia,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Kiese Thelin,Sweden,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyeon-Woo Jo,South Korea,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyun-Soo Jang,South Korea,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscar Hiljemark,Sweden,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Márquez Álvarez,Mexico,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.5
Lucas Vázquez Iglesias,Spain,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David de Gea Quintana,Spain,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osama Abdulrezag Hawsawi,Saudi Arabia,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Néstor Fernando Muslera Micol,Uruguay,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taisir Jabir Al Jassim,Saudi Arabia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.5
Christian Guillermo Martín Ramos Garagay,Peru,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.5
Raúl Mario Ruidíaz Misitich,Peru,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven N'Kemboanza Mike Christopher Nzonzi,France,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.5
Miguel Ángel Trauco Saavedra,Peru,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.9
Danijel Subašić,Croatia,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilfredo Daniel Caballero,Argentina,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vedran Ćorluka,Croatia,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Strinić,Croatia,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,1.4
Carlos Alberto Sánchez Moreno,Colombia,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wílmar Enrique Barrios Terán,Colombia,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.5
David Ospina Ramírez,Colombia,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Carlos Tejada Hansell,Panama,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birkir Már Sævarsson,Iceland,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Björn Bergmann Sigurðarson,Iceland,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ragnar Sigurðsson,Iceland,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5
Hannes Þór Halldórsson,Iceland,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Abdul Shafy Sayed Abouezeid,Egypt,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramadan Sobhi Ramadan Ahmed,Egypt,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igor Akinfeev,Russia,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kári Árnason,Iceland,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.5
Ari Freyr Skúlason,Iceland,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.5
Phil Jones,England,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mousa Sidi Yaya Dembélé,Belgium,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Olsson,Sweden,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cédric Ricardo Alves Soares,Portugal,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.9
Fayçal Fajr,Morocco,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.03,0.5
Christian Bolaños Navarro,Costa Rica,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.5
Johnny Acosta Zamora,Costa Rica,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se-Jong Ju,South Korea,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.415,0.5
Jesús Manuel Corona Ruíz,Mexico,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,1.4
Antonio Rukavina,Serbia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.5
Farouk Ben Mustapha,Tunisia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syam Ben Youssef,Tunisia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Armani,Argentina,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Oladapo Idowu,Nigeria,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.9
John Michael Nchekwube Obinna,Nigeria,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142,1.4
Simeon Tochukwu Nwankwo,Nigeria,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Milligan,Australia,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.5
Tomi Jurić,Australia,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.5
Andrew Nabbout,Australia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.5
Aziz Bouhaddouz,Morocco,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.5
Yehya Sulaiman Ali Al-Shehri,Saudi Arabia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
