pitcher,team,ra9,factor,ip
Ron Marinaccio,San Diego Padres,4.1,0.952,38
Paul Blackburn,New York Mets,4.1,0.953,65
Justin Sterner,Athletics,4.1,0.953,74
Shane Bieber,Toronto Blue Jays,4.1,0.953,24
Jesus Tinoco,Miami Marlins,4.1,0.954,16
Sonny Gray,St. Louis Cardinals,4.12,0.957,251
Tejay Antone,Cincinnati Reds,4.12,0.958,20
Tyler Samaniego,Boston Red Sox,4.12,0.958,20
Eduardo Rodriguez,Arizona Diamondbacks,4.13,0.959,207
Orlando Ribalta,Washington Nationals,4.13,0.96,22
Cody Bradford,Texas Rangers,4.13,0.959,30
Tanner Bibee,Cleveland Guardians,4.14,0.962,274
Max Meyer,Miami Marlins,4.14,0.963,151
Jake Bennett,Boston Red Sox,4.14,0.963,26
Kody Funderburk,Minnesota Twins,4.14,0.961,25
Hunter Strickland,Los Angeles Angels,4.14,0.963,29
Robbie Ray,San Francisco Giants,4.15,0.965,196
Grant Holmes,Atlanta Braves,4.15,0.964,169
Yennier Cano,Baltimore Orioles,4.15,0.965,85
Cam Booser,Boston Red Sox,4.15,0.965,17
Peter Lambert,Colorado Rockies,4.16,0.966,93
Ryan Pepiot,Tampa Bay Rays,4.16,0.966,152
Ryan Helsley,St. Louis Cardinals,4.16,0.967,60
Bryce Jarvis,Arizona Diamondbacks,4.16,0.967,24
Alex Faedo,Detroit Tigers,4.16,0.967,23
Nolan McLean,New York Mets,4.17,0.97,118
Shane McClanahan,Tampa Bay Rays,4.17,0.969,73
Spencer Arrighetti,Houston Astros,4.17,0.97,127
Brad Lord,Washington Nationals,4.17,0.969,129
Shane Drohan,Milwaukee Brewers,4.17,0.969,47
José A. Ferrer,Washington Nationals,4.17,0.97,79
David Bednar,Pittsburgh Pirates,4.17,0.969,92
Tony Santillan,Cincinnati Reds,4.17,0.969,75
Jesse Chavez,Atlanta Braves,4.17,0.969,25
José Soriano,Los Angeles Angels,4.18,0.972,242
AJ Blubaugh,Houston Astros,4.18,0.971,49
Luis Ortiz,Pittsburgh Pirates,4.18,0.97,107
Joe Musgrove,San Diego Padres,4.18,0.971,40
A.J. Puk,Arizona Diamondbacks,4.18,0.972,28
George Kirby,Seattle Mariners,4.19,0.974,248
Michael Soroka,Chicago White Sox,4.19,0.973,167
Grant Taylor,Chicago White Sox,4.19,0.974,38
Tyler Wells,Baltimore Orioles,4.19,0.974,36
Grant Anderson,Milwaukee Brewers,4.19,0.974,73
Lucas Erceg,Kansas City Royals,4.19,0.973,89
Elvis Peguero,Milwaukee Brewers,4.19,0.975,20
Eric Lauer,Toronto Blue Jays,4.2,0.976,127
Griffin Jax,Minnesota Twins,4.2,0.975,118
Tommy Nance,Toronto Blue Jays,4.2,0.977,27
Kyle Bradish,Baltimore Orioles,4.21,0.978,89
J.T. Ginn,Athletics,4.21,0.979,136
Joey Cantillo,Cleveland Guardians,4.21,0.977,137
Brock Burke,Los Angeles Angels,4.21,0.978,73
Shelby Miller,Detroit Tigers,4.21,0.978,50
Mitch Farris,Los Angeles Angels,4.22,0.98,31
Phil Maton,New York Mets,4.22,0.981,87
Chris Martin,Boston Red Sox,4.22,0.981,43
Cole Ragans,Kansas City Royals,4.23,0.982,146
Will Vest,Detroit Tigers,4.23,0.983,94
Blas Castaño,Colorado Rockies,4.23,0.983,20
Mick Abel,Minnesota Twins,4.23,0.984,20
Angel Zerpa,Kansas City Royals,4.23,0.983,60
Ryan Fernandez,St. Louis Cardinals,4.23,0.984,26
AJ Smith-Shawver,Atlanta Braves,4.24,0.984,26
Dylan Floro,Arizona Diamondbacks,4.24,0.985,27
José Ruiz,Philadelphia Phillies,4.24,0.986,20
Ryan Weathers,Miami Marlins,4.25,0.987,116
Trevor Rogers,Baltimore Orioles,4.25,0.987,188
Carmen Mlodzinski,Pittsburgh Pirates,4.25,0.989,147
Jameson Taillon,Chicago Cubs,4.25,0.988,211
Tyler Mahle,Texas Rangers,4.25,0.988,108
Tim Hill,New York Yankees,4.25,0.988,96
Mason Englert,Tampa Bay Rays,4.25,0.988,52
Trent Thornton,Seattle Mariners,4.25,0.987,74
Pedro Avila,Cleveland Guardians,4.25,0.988,33
Sean Hjelle,San Francisco Giants,4.25,0.988,32
Joe Mantiply,Arizona Diamondbacks,4.25,0.987,24
Cole Winn,Texas Rangers,4.26,0.991,49
José Berríos,Toronto Blue Jays,4.26,0.99,176
Tommy Kahnle,New York Yankees,4.26,0.99,55
Beau Brieske,Detroit Tigers,4.26,0.989,27
Seth Martinez,Houston Astros,4.26,0.99,21
Jordan Leasure,Chicago White Sox,4.27,0.992,38
Robert Garcia,Washington Nationals,4.27,0.992,62
Jason Foley,Detroit Tigers,4.27,0.993,24
Andrew Chafin,Texas Rangers,4.27,0.992,22
Caleb Thielbar,Minnesota Twins,4.28,0.996,75
José Fermin,Los Angeles Angels,4.28,0.995,19
Aaron Bummer,Atlanta Braves,4.28,0.995,54
Tyler Gilbert,Chicago White Sox,4.28,0.995,31
Jonathan Bowlan,Kansas City Royals,4.3,0.998,50
Richard Lovelady,Washington Nationals,4.31,1.001,29
Matt Gage,San Francisco Giants,4.31,1.001,25
Shane Smith,Chicago White Sox,4.31,1.001,88
Jesse Scholtens,Tampa Bay Rays,4.32,1.005,37
Paul Sewald,Arizona Diamondbacks,4.32,1.003,29
Austin Adams,Athletics,4.32,1.004,16
Alex Lange,Kansas City Royals,4.33,1.006,35
Hoby Milner,Milwaukee Brewers,4.33,1.006,102
Brennan Bernardino,Boston Red Sox,4.33,1.007,82
Cooper Criswell,Boston Red Sox,4.33,1.007,70
Mason Fluharty,Toronto Blue Jays,4.33,1.007,62
Lou Trivino,Philadelphia Phillies,4.33,1.006,28
Lucas Sims,Boston Red Sox,4.33,1.006,20
Randy Vásquez,San Diego Padres,4.34,1.008,196
Nick Lodolo,Cincinnati Reds,4.34,1.008,186
Eric Orze,Tampa Bay Rays,4.34,1.008,61
Lucas Giolito,Boston Red Sox,4.34,1.008,116
Jackson Jobe,Detroit Tigers,4.34,1.008,29
Keider Montero,Detroit Tigers,4.35,1.011,174
Drew Anderson,Detroit Tigers,4.35,1.011,49
Mike Paredes,Minnesota Twins,4.35,1.011,20
Hunter Dobbins,Boston Red Sox,4.35,1.011,37
Drew Smyly,Chicago Cubs,4.35,1.012,23
T.J. McFarland,Athletics,4.35,1.011,22
Emerson Hancock,Seattle Mariners,4.36,1.013,163
Spencer Bivens,San Francisco Giants,4.36,1.012,68
Caleb Ferguson,Houston Astros,4.36,1.014,61
Reed Garrett,New York Mets,4.36,1.012,56
José Leclerc,Texas Rangers,4.36,1.013,26
Albert Suárez,Baltimore Orioles,4.37,1.015,86
Sam Moll,Cincinnati Reds,4.37,1.016,32
Erik Miller,San Francisco Giants,4.37,1.016,47
Nick Sandlin,Cleveland Guardians,4.37,1.017,23
Kyle Muller,Athletics,4.37,1.016,20
MacKenzie Gore,Washington Nationals,4.38,1.018,246
Jalen Beeks,Pittsburgh Pirates,4.38,1.017,88
Elvis Alvarado,Athletics,4.38,1.019,44
José Ureña,Texas Rangers,4.38,1.018,77
Landon Knack,Los Angeles Dodgers,4.38,1.017,53
Austin Voth,Seattle Mariners,4.38,1.018,24
Calvin Faucher,Miami Marlins,4.39,1.019,90
Keegan Akin,Baltimore Orioles,4.39,1.021,91
Luis García,Boston Red Sox,4.39,1.02,57
Sean Burke,Chicago White Sox,4.4,1.023,168
Kai-Wei Teng,Houston Astros,4.4,1.022,60
Tobias Myers,Milwaukee Brewers,4.4,1.022,124
Nate Pearson,Chicago Cubs,4.4,1.023,26
Adam Ottavino,New York Mets,4.4,1.023,22
Jesús Luzardo,Miami Marlins,4.41,1.026,228
Anthony Kay,Chicago White Sox,4.41,1.025,76
Jeff Hoffman,Philadelphia Phillies,4.41,1.026,101
Carlos Vargas,Seattle Mariners,4.41,1.026,46
DJ Herz,Washington Nationals,4.41,1.025,35
Jhony Brito,San Diego Padres,4.41,1.025,17
Brady Singer,Kansas City Royals,4.42,1.028,246
Stephen Kolek,San Diego Padres,4.42,1.027,138
Joel Kuhnel,Milwaukee Brewers,4.42,1.027,31
Trevor Richards,Minnesota Twins,4.42,1.028,52
Cole Henry,Washington Nationals,4.42,1.028,31
Héctor Neris,Houston Astros,4.42,1.027,24
Brenan Hanifee,Detroit Tigers,4.43,1.03,36
Tristan Beck,San Francisco Giants,4.43,1.029,34
Jared Shuster,Chicago White Sox,4.43,1.029,29
Roansy Contreras,Los Angeles Angels,4.44,1.033,27
Xzavion Curry,Miami Marlins,4.44,1.031,17
Carson Fulmer,Los Angeles Angels,4.45,1.034,34
Peyton Gray,Texas Rangers,4.46,1.037,26
Connor Seabold,Kansas City Royals,4.46,1.037,22
Grant Wolfram,Baltimore Orioles,4.46,1.037,22
Tyler Anderson,Los Angeles Angels,4.46,1.036,153
Cole Sands,Minnesota Twins,4.46,1.037,72
Tyler Ferguson,Athletics,4.46,1.036,55
Ryan Pressly,Houston Astros,4.46,1.036,47
Justin Anderson,Chicago White Sox,4.46,1.037,21
Tanner Rainey,Washington Nationals,4.46,1.038,20
Shawn Dubin,Houston Astros,4.46,1.037,18
Landen Roupp,San Francisco Giants,4.47,1.038,164
Robert Gasser,Milwaukee Brewers,4.47,1.039,30
Valente Bellozo,Miami Marlins,4.47,1.038,76
Luis Castillo,Seattle Mariners,4.48,1.041,248
Tim Mayza,New York Yankees,4.48,1.042,51
Zack Kelly,Boston Red Sox,4.48,1.042,22
Kyle Nicolas,Pittsburgh Pirates,4.48,1.042,22
Evan Phillips,Los Angeles Dodgers,4.48,1.042,22
