pitcher,team,ra9,factor,ip
Camilo Doval,San Francisco Giants,4.75,1.104,92
Chris Stratton,Kansas City Royals,4.75,1.103,23
Craig Kimbrel,Baltimore Orioles,4.75,1.104,21
Tyler Alexander,Tampa Bay Rays,4.76,1.107,133
Trey Gibson,Baltimore Orioles,4.76,1.107,30
Will Warren,New York Yankees,4.77,1.108,175
Tanner Houck,Boston Red Sox,4.77,1.108,97
Slade Cecconi,Arizona Diamondbacks,4.78,1.112,194
JP Sears,Athletics,4.78,1.111,153
Dustin May,Boston Red Sox,4.79,1.114,162
Edward Cabrera,Miami Marlins,4.79,1.114,193
David Peterson,New York Mets,4.79,1.114,217
Brayan Bello,Boston Red Sox,4.79,1.113,226
Cionel Pérez,Baltimore Orioles,4.79,1.114,49
Yohan Ramírez,Boston Red Sox,4.8,1.116,61
Scott Blewett,Baltimore Orioles,4.8,1.115,26
Zebby Matthews,Minnesota Twins,4.81,1.118,97
Devin Williams,New York Yankees,4.81,1.119,61
Sandy Alcantara,Miami Marlins,4.82,1.119,215
JR Ritchie,Atlanta Braves,4.82,1.121,40
Connor Phillips,Cincinnati Reds,4.82,1.12,27
Luke Jackson,Atlanta Braves,4.82,1.12,52
Sam Long,Kansas City Royals,4.82,1.121,41
Frankie Montas,Milwaukee Brewers,4.82,1.12,60
Bryce Elder,Atlanta Braves,4.83,1.122,208
Ryan Feltner,Colorado Rockies,4.83,1.123,112
Connor Brogdon,Los Angeles Angels,4.83,1.121,28
Mike Baumann,Miami Marlins,4.83,1.123,23
Dane Dunning,Texas Rangers,4.84,1.124,38
Will Smith,Kansas City Royals,4.84,1.124,16
Trevor McDonald,San Francisco Giants,4.85,1.127,45
Darren McCaughan,Miami Marlins,4.86,1.13,17
Logan Allen,Cleveland Guardians,4.87,1.133,133
Chase Anderson,Texas Rangers,4.87,1.133,23
Bubba Chandler,Pittsburgh Pirates,4.88,1.135,74
Patrick Corbin,Washington Nationals,4.88,1.135,227
Ian Seymour,Tampa Bay Rays,4.88,1.135,77
Brandon Williamson,Cincinnati Reds,4.88,1.133,28
Sam Aldegheri,Los Angeles Angels,4.88,1.135,24
Bryse Wilson,Milwaukee Brewers,4.88,1.135,70
Matthew Liberatore,St. Louis Cardinals,4.89,1.136,197
Adrian Houser,New York Mets,4.89,1.137,169
Hayden Birdsong,San Francisco Giants,4.89,1.136,68
Zach Pop,Toronto Blue Jays,4.89,1.137,19
Mark Leiter Jr.,New York Yankees,4.9,1.138,81
José Alvarado,Philadelphia Phillies,4.9,1.139,51
Alex Hoppe,Seattle Mariners,4.9,1.14,22
Osvaldo Bido,Athletics,4.9,1.139,73
Carson Spiers,Cincinnati Reds,4.9,1.138,36
Jake Bird,New York Yankees,4.91,1.142,57
Travis Adams,Minnesota Twins,4.91,1.142,20
David Festa,Minnesota Twins,4.91,1.141,58
Brandon Sproat,Milwaukee Brewers,4.92,1.144,69
Steven Matz,St. Louis Cardinals,4.92,1.144,116
Mason Montgomery,Tampa Bay Rays,4.92,1.144,57
Génesis Cabrera,Toronto Blue Jays,4.92,1.144,50
Cole Irvin,Minnesota Twins,4.92,1.144,44
Colton Gordon,Houston Astros,4.93,1.145,52
Anthony Nunez,Baltimore Orioles,4.94,1.149,34
Andrew Heaney,Texas Rangers,4.95,1.15,137
Mike Burrows,Pittsburgh Pirates,4.96,1.154,137
Cole Sulser,Tampa Bay Rays,4.96,1.152,30
Mitch Spence,Athletics,4.97,1.156,111
Jorge Alcala,Minnesota Twins,4.98,1.157,56
Scott Barlow,Cleveland Guardians,4.99,1.16,96
Aaron Nola,Philadelphia Phillies,5.0,1.162,212
Noah Schultz,Chicago White Sox,5.01,1.165,38
Carlos Hernández,Cleveland Guardians,5.02,1.167,26
Jordan Weems,Washington Nationals,5.02,1.167,16
Jackson Rutledge,Washington Nationals,5.03,1.17,44
Jonathan Cannon,Chicago White Sox,5.04,1.171,112
Tatsuya Imai,Houston Astros,5.05,1.174,41
Kodai Senga,New York Mets,5.05,1.175,95
Simeon Woods Richardson,Minnesota Twins,5.06,1.176,174
Jake Woodford,Milwaukee Brewers,5.06,1.175,23
Anthony Molina,Colorado Rockies,5.06,1.177,24
Charlie Morton,Atlanta Braves,5.07,1.179,151
Caleb Boushley,Texas Rangers,5.08,1.181,26
José Suarez,Los Angeles Angels,5.09,1.183,62
Grayson Rodriguez,Baltimore Orioles,5.09,1.183,72
Kyle Hendricks,Chicago Cubs,5.09,1.183,151
Zac Gallen,Arizona Diamondbacks,5.11,1.186,254
Cade Povich,Baltimore Orioles,5.11,1.188,99
Joe Boyle,Athletics,5.11,1.187,50
Antonio Senzatela,Colorado Rockies,5.12,1.19,120
Joey Wentz,Pittsburgh Pirates,5.13,1.193,86
Jeffrey Springs,Athletics,5.14,1.193,185
Ryan Gusto,Miami Marlins,5.14,1.194,61
Chase Dollander,Colorado Rockies,5.16,1.199,103
Cal Quantrill,Colorado Rockies,5.16,1.199,161
Paxton Schultz,Washington Nationals,5.16,1.199,30
Ty Blach,Colorado Rockies,5.16,1.199,28
Dakota Hudson,Colorado Rockies,5.19,1.205,36
Hunter Bigge,Tampa Bay Rays,5.2,1.208,19
Miles Mikolas,St. Louis Cardinals,5.21,1.21,236
Jacob Lopez,Athletics,5.21,1.212,106
Ryne Stanek,New York Mets,5.21,1.211,87
Kenta Maeda,Detroit Tigers,5.21,1.211,45
Jordan Montgomery,Arizona Diamondbacks,5.22,1.212,47
Ross Stripling,Athletics,5.23,1.216,34
Jordan Hicks,San Francisco Giants,5.25,1.219,84
Griffin Canning,Los Angeles Angels,5.27,1.225,156
Michael Lorenzen,Kansas City Royals,5.28,1.226,213
Brandon Pfaadt,Arizona Diamondbacks,5.28,1.227,216
