fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Jorge Masvidal,2013-07-27,UFC on FOX: Johnson vs Moraga,Michael Chiesa,W,Submission,2,,Lightweight Bout,,ww
Demetrious Johnson,2013-07-27,UFC on FOX: Johnson vs Moraga,John Moraga,W,Submission,5,,,,flw
Thiago Santos,2013-08-03,,Cezar Ferreira,L,Submission,1,,,,lhw
Jose Aldo,2013-08-03,UFC 163: Aldo vs Jung,Chan Sung Jung,W,KO/TKO,4,,,,bw
Neil Magny,2013-08-03,UFC 163: Aldo vs Jung,Sergio Moraes,L,Submission,1,,Welterweight Bout,,ww
Sergio Moraes,2013-08-03,UFC 163: Aldo vs Jung,Neil Magny,W,Submission,1,,Welterweight Bout,,ww
Francimar Barroso,2013-08-03,,Ednaldo Oliveira,W,Decision,3,Unanimous,,,lhw
Amanda Nunes,2013-08-03,UFC 163: Aldo vs Jung,Sheila Gaff,W,KO/TKO,1,,,,wbw
Uriah Hall,2013-08-17,UFC Fight Night: Shogun vs Sonnen,John Howard,L,Decision - Split,3,Split,Middleweight Bout,,mw
Ovince Saint Preux,2013-08-17,,Cody Donovan,W,KO/TKO,1,,,,lhw
Max Holloway,2013-08-17,UFC Fight Night: Shogun vs Sonnen,Conor McGregor,L,Decision - Unanimous,3,Unanimous,,,lw
Cody Donovan,2013-08-17,,Ovince Saint Preux,L,KO/TKO,1,,,,lhw
Court McGee,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Robert Whittaker,W,Decision - Split,3,Split,Welterweight Bout,,mw
Robert Whittaker,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Court McGee,L,Decision - Split,3,Split,Welterweight Bout,,mw
Robert McDaniel,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Brad Tavares,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Brad Tavares,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Robert McDaniel,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Donald Cerrone,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Rafael Dos Anjos,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Rafael Dos Anjos,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Donald Cerrone,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Kelvin Gastelum,2013-08-28,UFC Fight Night: Condit vs Kampmann 2,Brian Melancon,W,Submission,1,,Welterweight Bout,,ww
Chico Camus,2013-08-31,UFC 164: Henderson vs Pettis 2,Kyung Ho Kang,W,Decision - Unanimous,3,Unanimous,,,flw
Louis Gaudinot,2013-08-31,UFC 164: Henderson vs Pettis 2,Tim Elliott,L,Decision - Unanimous,3,Unanimous,,,flw
Dustin Poirier,2013-08-31,UFC 164: Henderson vs Pettis 2,Erik Koch,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Nikita Krylov,2013-08-31,,Soa Palelei,L,KO/TKO,3,,,,lhw
Gleison Tibau,2013-08-31,UFC 164: Henderson vs Pettis 2,Jamie Varner,W,Decision - Split,3,Split,Lightweight Bout,,ww
Soa Palelei,2013-08-31,,Nikita Krylov,W,KO/TKO,3,,,,lhw
Tim Elliott,2013-08-31,UFC 164: Henderson vs Pettis 2,Louis Gaudinot,W,Decision - Unanimous,3,Unanimous,,,flw
Joseph Benavidez,2013-09-04,UFC Fight Night: Teixeira vs Bader,Jussier Formiga,W,KO/TKO,1,,,,flw
Jussier Formiga,2013-09-04,UFC Fight Night: Teixeira vs Bader,Joseph Benavidez,L,KO/TKO,1,,,,flw
Ali Bagautinov,2013-09-04,UFC Fight Night: Teixeira vs Bader,Marcos Vinicius,W,KO/TKO,3,,,,flw
Jacare Souza,2013-09-04,UFC Fight Night: Teixeira vs Bader,Yushin Okami,W,KO/TKO,1,,Middleweight Bout,,mw
