fighter,date,event,opponent,result,method,round,decision_type,weightclass,score_margin,division_code
Sam Alvey,2017-01-28,UFC on FOX: Shevchenko vs. Pena,Nate Marquardt,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Jorge Masvidal,2017-01-28,UFC on FOX: Shevchenko vs. Pena,Donald Cerrone,W,KO/TKO,2,,Welterweight Bout,,ww
Valentina Shevchenko,2017-01-28,,Julianna Pena,W,Submission,2,,,,wflw
Eric Shelton,2017-01-28,UFC on FOX: Shevchenko vs. Pena,Alexandre Pantoja,L,Decision - Split,3,Split,,,flw
Alessio Di Chirico,2017-01-28,UFC on FOX: Shevchenko vs. Pena,Eric Spicely,L,Submission,1,,Middleweight Bout,,ww
Jeremy Kimball,2017-01-28,,Marcos Rogerio de Lima,L,KO/TKO,1,,,,lhw
Alexandre Pantoja,2017-01-28,UFC on FOX: Shevchenko vs. Pena,Eric Shelton,W,Decision - Split,3,Split,,,flw
Ovince Saint Preux,2017-02-04,,Volkan Oezdemir,L,Decision,3,Split,,,lhw
Jéssica Andrade,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Angela Hill,W,DEC,3,Unanimous,,,wsw
Tecia Pennington,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Bec Rawlings,W,DEC,3,Unanimous,,,wsw
Volkan Oezdemir,2017-02-04,,Ovince Saint Preux,W,Decision,3,Split,,,lhw
Alexa Grasso,2017-02-04,,Felice Herrig,L,Decision - Unanimous,3,Decision,,,wflw
Curtis Blaydes,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Adam Milstead,NC,Overturned,2,,Heavyweight Bout,,hw
Alex Morono,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Niko Price,NC,Overturned,2,,Welterweight Bout,,ww
Angela Hill,2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Jessica Andrade,L,DEC,3,Unanimous,,,wsw
Khalil Rountree Jr.,2017-02-04,,Daniel Jolly,W,KO/TKO,1,,,,lhw
Daniel Jolly,2017-02-04,,Khalil Rountree Jr.,L,KO/TKO,1,,,,lhw
Nik Lentz,2017-02-11,UFC 208: Holm vs. De Randamie,Islam Makhachev,L,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Anderson Silva,2017-02-11,UFC 208: Holm vs. De Randamie,Derek Brunson,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Islam Makhachev,2017-02-11,UFC 208: Holm vs. De Randamie,Nik Lentz,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Randy Brown,2017-02-11,UFC 208: Holm vs. De Randamie,Belal Muhammad,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Belal Muhammad,2017-02-11,UFC 208: Holm vs. De Randamie,Randy Brown,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Derek Brunson,2017-02-11,UFC 208: Holm vs. De Randamie,Anderson Silva,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Jacare Souza,2017-02-11,UFC 208: Holm vs. De Randamie,Tim Boetsch,W,Submission,1,,Middleweight Bout,,mw
Holly Holm,2017-02-11,UFC 208: Holm vs. De Randamie,Germaine de Randamie,L,DEC,5,Unanimous,,,wbw
Jared Cannonier,2017-02-11,UFC 208: Holm vs. De Randamie,Glover Teixeira,L,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,ww
Glover Teixeira,2017-02-11,UFC 208: Holm vs. De Randamie,Jared Cannonier,W,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,mw
Wilson Reis,2017-02-11,UFC 208: Holm vs. De Randamie,Yuta Sasaki,W,Decision - Unanimous,3,Unanimous,,,flw
Dustin Poirier,2017-02-11,UFC 208: Holm vs. De Randamie,Jim Miller,W,Decision - Majority,3,Majority,Lightweight Bout,,ww
Yuta Sasaki,2017-02-11,UFC 208: Holm vs. De Randamie,Wilson Reis,L,Decision - Unanimous,3,Unanimous,,,flw
Jack Marshman,2017-02-19,UFC Fight Night: Lewis vs. Browne,Thiago Santos,L,KO/TKO,2,,Middleweight Bout,,mw
Derrick Lewis,2017-02-19,UFC Fight Night: Lewis vs. Browne,Travis Browne,W,KO/TKO,2,,Heavyweight Bout,,hw
Nordine Taleb,2017-02-19,UFC Fight Night: Lewis vs. Browne,Santiago Ponzinibbio,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Aiemann Zahabi,2017-02-19,UFC Fight Night: Lewis vs. Browne,Reginaldo Vieira,W,Decision,3,Unanimous,,,bw
Santiago Ponzinibbio,2017-02-19,UFC Fight Night: Lewis vs. Browne,Nordine Taleb,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Thiago Santos,2017-02-19,,Jack Marshman,W,KO/TKO,2,,,,lhw
Johny Hendricks,2017-02-19,,Hector Lombard,W,Decision,3,Unanimous,,,lhw
Gerald Meerschaert,2017-02-19,UFC Fight Night: Lewis vs. Browne,Ryan Janes,W,Submission,1,,Middleweight Bout,,mw
Paul Craig,2017-03-04,UFC 209: Woodley vs. Thompson 2,Tyson Pedro,L,KO/TKO,1,,Light Heavyweight Bout,,mw
Marcin Tybura,2017-03-04,UFC 209: Woodley vs. Thompson 2,Luis Henrique,W,KO/TKO,3,,Heavyweight Bout,,hw
Stephen Thompson,2017-03-04,UFC 209: Woodley vs. Thompson 2,Tyron Woodley,L,Decision - Majority,5,Majority,UFC Welterweight Title Bout,,mw
Tyron Woodley,2017-03-04,UFC 209: Woodley vs. Thompson 2,Stephen Thompson,W,Decision - Majority,5,Majority,UFC Welterweight Title Bout,,ww
Tyson Pedro,2017-03-04,,Paul Craig,W,KO/TKO,1,,,,lhw
Sergio Moraes,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Davi Ramos,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Kevin Lee,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Francisco Trinaldo,W,Submission,2,,Lightweight Bout,,ww
Kelvin Gastelum,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Vitor Belfort,NC,Overturned,1,,Middleweight Bout,,ww
Tim Means,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Alex Oliveira,L,Submission,2,,Welterweight Bout,,ww
Beneil Dariush,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Edson Barboza,L,KO/TKO,2,,,,lw
Garreth McLellan,2017-03-11,,Paulo Costa,L,KO/TKO,1,,,,lhw
Paulo Costa,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Garreth McLellan,W,KO/TKO,1,,Middleweight Bout,,mw
Jussier Formiga,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Ray Borg,L,Decision - Unanimous,3,Unanimous,,,flw
Davi Ramos,2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Sergio Moraes,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Marlon Vera,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Brad Pickett,W,KO/TKO,3,,,,bw
Gunnar Nelson,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Alan Jouban,W,Submission,2,,Welterweight Bout,,ww
Vicente Luque,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Leon Edwards,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Brad Scott,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Scott Askham,W,Decision - Split,3,Split,Middleweight Bout,,mw
Jimi Manuwa,2017-03-18,,Corey Anderson,W,KO/TKO,1,,,,lhw
Alan Jouban,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Gunnar Nelson,L,Submission,2,,Welterweight Bout,,ww
Arnold Allen,2017-03-18,,Makwan Amirkhani,W,Decision - Split,3,Split,,,fw
Corey Anderson,2017-03-18,,Jimi Manuwa,L,KO/TKO,1,,,,lhw
Francimar Barroso,2017-03-18,,Darren Stewart,W,Decision,3,Unanimous,,,lhw
Leon Edwards,2017-03-18,UFC Fight Night: Manuwa vs. Anderson,Vicente Luque,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Kamaru Usman,2017-04-08,UFC 210: Cormier vs. Johnson 2,Sean Strickland,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Sean Strickland,2017-04-08,UFC 210: Cormier vs. Johnson 2,Kamaru Usman,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Irene Aldana,2017-04-08,UFC 210: Cormier vs. Johnson 2,Katlyn Cerminara,L,DEC,3,Split,,,wbw
Chris Weidman,2017-04-08,,Gegard Mousasi,L,KO/TKO,2,,,,lhw
Josh Emmett,2017-04-08,,Desmond Green,L,Decision - Split,3,Split,,,fw
Jan Błachowicz,2017-04-08,,Patrick Cummins,L,Decision,3,Unanimous,,,lhw
Charles Oliveira,2017-04-08,UFC 210: Cormier vs. Johnson 2,Will Brooks,W,Submission,1,,Lightweight Bout,,ww
Daniel Cormier,2017-04-08,,Anthony Johnson,W,Submission,2,,,,lhw
Patrick Cummins,2017-04-08,,Jan Blachowicz,W,Decision,3,Unanimous,,,lhw
Jan Blachowicz,2017-04-08,UFC 210: Cormier vs. Johnson 2,Patrick Cummins,L,Decision - Unanimous,3,Unanimous,Light Heavyweight Bout,,mw
Aljamain Sterling,2017-04-15,,Augusto Mendes,W,Decision - Unanimous,3,Unanimous,,,fw
Renato Moicano,2017-04-15,UFC on FOX: Johnson vs. Reis,Jeremy Stephens,W,Decision - Split,3,Split,Featherweight Bout,,ww
Alexander Volkov,2017-04-15,UFC on FOX: Johnson vs. Reis,Roy Nelson,W,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Anthony Smith,2017-04-15,UFC on FOX: Johnson vs. Reis,Andrew Sanchez,W,KO/TKO,3,,Middleweight Bout,,mw
Rose Namajunas,2017-04-15,,Michelle Waterson-Gomez,W,Submission,2,,,,wflw
Demetrious Johnson,2017-04-15,UFC on FOX: Johnson vs. Reis,Wilson Reis,W,Submission,3,,,,flw
King Green,2017-04-15,UFC on FOX: Johnson vs. Reis,Rashid Magomedov,L,Decision - Split,3,Split,Lightweight Bout,,ww
Wilson Reis,2017-04-15,UFC on FOX: Johnson vs. Reis,Demetrious Johnson,L,Submission,3,,,,flw
Andrew Sanchez,2017-04-15,,Anthony Smith,L,KO/TKO,3,,,,lhw
Ketlen Vieira,2017-04-15,UFC on FOX: Johnson vs. Reis,Ashlee Evans-Smith,W,DEC,3,Unanimous,,,wbw
Jacare Souza,2017-04-15,UFC on FOX: Johnson vs. Reis,Robert Whittaker,L,KO/TKO,2,,Middleweight Bout,,mw
Tim Elliott,2017-04-15,UFC on FOX: Johnson vs. Reis,Louis Smolka,W,Decision - Unanimous,3,Unanimous,,,flw
Devin Clark,2017-04-15,,Jake Collier,W,Decision,3,Unanimous,,,lhw
Robert Whittaker,2017-04-15,UFC on FOX: Johnson vs. Reis,Jacare Souza,W,KO/TKO,2,,Middleweight Bout,,mw
Louis Smolka,2017-04-15,UFC on FOX: Johnson vs. Reis,Tim Elliott,L,Decision - Unanimous,3,Unanimous,,,flw
Sam Alvey,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Thales Leites,L,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Brandon Moreno,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Dustin Ortiz,W,Submission,2,,,,flw
Bryan Barberena,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Joe Proctor,W,KO/TKO,1,,Welterweight Bout,,ww
John Dodson,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Eddie Wineland,W,Decision - Unanimous,3,Unanimous,,,flw
Mike Perry,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Jake Ellenberger,W,KO/TKO,2,,Welterweight Bout,,ww
Marcos Rogerio de Lima,2017-04-22,,Ovince Saint Preux,L,Submission,2,,,,lhw
Dustin Ortiz,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Brandon Moreno,L,Submission,2,,,,flw
Ovince Saint Preux,2017-04-22,,Marcos Rogerio de Lima,W,Submission,2,,,,lhw
Matt Schnell,2017-04-22,UFC Fight Night: Swanson vs. Lobov,Hector Sandoval,L,KO/TKO,1,,,,flw
Dustin Poirier,2017-05-13,UFC 211: Miocic vs. Dos Santos,Eddie Alvarez,NC,Could Not Continue,2,,Lightweight Bout,,ww
Krzysztof Jotko,2017-05-13,UFC 211: Miocic vs. Dos Santos,David Branch,L,Decision - Split,3,Split,Middleweight Bout,,mw
Demian Maia,2017-05-13,UFC 211: Miocic vs. Dos Santos,Jorge Masvidal,W,Decision - Split,3,Split,Welterweight Bout,,ww
David Branch,2017-05-13,UFC 211: Miocic vs. Dos Santos,Krzysztof Jotko,W,Decision - Split,3,Split,Middleweight Bout,,mw
Yair Rodriguez,2017-05-13,,Frankie Edgar,L,TKO - Doctor's Stoppage,2,,,,fw
Joachim Christensen,2017-05-13,,Gadzhimurad Antigulov,L,Submission,1,,,,lhw
Jéssica Andrade,2017-05-13,UFC 211: Miocic vs. Dos Santos,Joanna Jedrzejczyk,L,DEC,5,Unanimous,,,wsw
Jorge Masvidal,2017-05-13,UFC 211: Miocic vs. Dos Santos,Demian Maia,L,Decision - Split,3,Split,Welterweight Bout,,ww
Alexander Gustafsson,2017-05-28,,Glover Teixeira,W,KO/TKO,5,,,,lhw
Darren Till,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Jessin Ayari,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Volkan Oezdemir,2017-05-28,,Misha Cirkunov,W,KO/TKO,1,,,,lhw
Nordine Taleb,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Oliver Enkamp,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Misha Cirkunov,2017-05-28,,Volkan Oezdemir,L,KO/TKO,1,,,,lhw
Abdul Razak Alhassan,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Omari Akhmedov,L,Decision - Split,3,Split,Welterweight Bout,,mw
Pedro Munhoz,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Damian Stasiak,W,Decision,3,Unanimous,,,bw
Glover Teixeira,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Alexander Gustafsson,L,KO/TKO,5,,Light Heavyweight Bout,,mw
Jack Hermansson,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Alex Nicholson,W,KO/TKO,1,,Middleweight Bout,,mw
Peter Sobotta,2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Ben Saunders,W,KO/TKO,2,,Welterweight Bout,,ww
Oluwale Bamgbose,2017-06-03,,Paulo Costa,L,KO/TKO,2,,,,lhw
Deiveson Figueiredo,2017-06-03,UFC 212: Aldo vs. Holloway,Marco Beltran,W,KO/TKO,2,,,,flw
Jose Aldo,2017-06-03,UFC 212: Aldo vs. Holloway,Max Holloway,L,KO/TKO,3,,,,bw
Max Holloway,2017-06-03,UFC 212: Aldo vs. Holloway,Jose Aldo,W,KO/TKO,3,,,,lw
Karolina Kowalkiewicz,2017-06-03,UFC 212: Aldo vs. Holloway,Claudia Gadelha,L,SUB,1,,,,wsw
Paulo Costa,2017-06-03,UFC 212: Aldo vs. Holloway,Oluwale Bamgbose,W,KO/TKO,2,,Middleweight Bout,,mw
Derrick Lewis,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Mark Hunt,L,KO/TKO,4,,Heavyweight Bout,,hw
Alexander Volkanovski,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Mizuto Hirota,W,Decision - Unanimous,3,Unanimous,Featherweight Bout,,ww
Tim Elliott,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Ben Nguyen,L,Submission,1,,,,flw
Ben Nguyen,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Tim Elliott,W,Submission,1,,,,flw
JJ Aldrich,2017-06-10,,Chan-Mi Jeon,W,Decision - Unanimous,3,Decision,,,wflw
Dan Hooker,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Ross Pearson,W,KO/TKO,2,,Lightweight Bout,,ww
Ion Cutelaba,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Henrique da Silva,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Derek Brunson,2017-06-10,UFC Fight Night: Lewis vs. Hunt,Daniel Kelly,W,KO/TKO,1,,Middleweight Bout,,mw
Holly Holm,2017-06-17,UFC Fight Night: Holm vs. Correia,Bethe Correia,W,KO/TKO,3,,,,wbw
Marcin Tybura,2017-06-17,UFC Fight Night: Holm vs. Correia,Andrei Arlovski,W,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Walt Harris,2017-06-17,,Cyril Asker,W,KO/TKO,1,,,,lhw
Carls John De Tomas,2017-06-17,UFC Fight Night: Holm vs. Correia,Naoki Inoue,L,Decision - Unanimous,3,Unanimous,,,flw
Yuta Sasaki,2017-06-17,UFC Fight Night: Holm vs. Correia,Justin Scoggins,W,Submission,2,,,,flw
Li Jingliang,2017-06-17,UFC Fight Night: Holm vs. Correia,Frank Camacho,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Rafael Dos Anjos,2017-06-17,UFC Fight Night: Holm vs. Correia,Tarec Saffiedine,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Colby Covington,2017-06-17,UFC Fight Night: Holm vs. Correia,Dong Hyun Kim,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Cyril Asker,2017-06-17,UFC Fight Night: Holm vs. Correia,Walt Harris,L,KO/TKO,1,,Heavyweight Bout,,mw
Tim Means,2017-06-25,UFC Fight Night: Chiesa vs. Lee,Alex Garcia,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Alex Garcia,2017-06-25,UFC Fight Night: Chiesa vs. Lee,Tim Means,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Marvin Vettori,2017-06-25,UFC Fight Night: Chiesa vs. Lee,Vitor Miranda,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Johny Hendricks,2017-06-25,,Tim Boetsch,L,KO/TKO,2,,,,lhw
Joachim Christensen,2017-06-25,,Dominick Reyes,L,KO/TKO,1,,,,lhw
Kevin Lee,2017-06-25,UFC Fight Night: Chiesa vs. Lee,Michael Chiesa,W,Submission,1,,Lightweight Bout,,ww
Dominick Reyes,2017-06-25,UFC Fight Night: Chiesa vs. Lee,Joachim Christensen,W,KO/TKO,1,,Light Heavyweight Bout,,mw
Michael Chiesa,2017-06-25,UFC Fight Night: Chiesa vs. Lee,Kevin Lee,L,Submission,1,,Lightweight Bout,,ww
Jeremy Kimball,2017-06-25,,Josh Stansbury,W,KO/TKO,1,,,,lhw
Brad Tavares,2017-07-07,The Ultimate Fighter: Redemption Finale,Elias Theodorou,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Angela Hill,2017-07-07,The Ultimate Fighter: Redemption Finale,Ashley Yoder,W,DEC,3,Unanimous,,,wsw
Justin Gaethje,2017-07-07,The Ultimate Fighter: Redemption Finale,Michael Johnson,W,KO/TKO,2,,,,lw
Nick Roehrick,2017-07-07,The Ultimate Fighter: Redemption Finale,Jared Cannonier,L,KO/TKO,3,,Light Heavyweight Bout,,mw
Jared Cannonier,2017-07-07,The Ultimate Fighter: Redemption Finale,Nick Roehrick,W,KO/TKO,3,,Light Heavyweight Bout,,mw
Dhiego Lima,2017-07-07,The Ultimate Fighter: Redemption Finale,Jesse Taylor,L,Submission,2,,Ultimate Fighter 25 Welterweight Tournament Title Bout,,ww
Tecia Pennington,2017-07-07,The Ultimate Fighter: Redemption Finale,Juliana Lima,W,SUB,2,,,,wsw
Ed Herman,2017-07-07,,CB Dollaway,L,Decision,3,Unanimous,,,lhw
Gerald Meerschaert,2017-07-08,UFC 213: Romero vs. Whittaker,Thiago Santos,L,KO/TKO,2,,Middleweight Bout,,mw
Thiago Santos,2017-07-08,,Gerald Meerschaert,W,KO/TKO,2,,,,lhw
Jordan Mein,2017-07-08,UFC 213: Romero vs. Whittaker,Belal Muhammad,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Robert Whittaker,2017-07-08,UFC 213: Romero vs. Whittaker,Yoel Romero,W,Decision - Unanimous,5,Unanimous,UFC Interim Middleweight Title Bout,,mw
Curtis Blaydes,2017-07-08,UFC 213: Romero vs. Whittaker,Daniel Omielanczuk,W,Decision - Unanimous,3,Unanimous,Heavyweight Bout,,hw
Yoel Romero,2017-07-08,UFC 213: Romero vs. Whittaker,Robert Whittaker,L,Decision - Unanimous,5,Unanimous,UFC Interim Middleweight Title Bout,,mw
Belal Muhammad,2017-07-08,UFC 213: Romero vs. Whittaker,Jordan Mein,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Trevin Giles,2017-07-08,UFC 213: Romero vs. Whittaker,James Bochnovic,W,KO/TKO,2,,Light Heavyweight Bout,,ww
Rob Font,2017-07-08,UFC 213: Romero vs. Whittaker,Douglas Silva de Andrade,W,Submission,2,,,,bw
Jack Marshman,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Ryan Janes,W,Decision - Unanimous,3,Unanimous,Middleweight Bout,,mw
Neil Seery,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Alexandre Pantoja,L,Submission,3,,,,flw
Santiago Ponzinibbio,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Gunnar Nelson,W,KO/TKO,1,,Welterweight Bout,,mw
Gunnar Nelson,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Santiago Ponzinibbio,L,KO/TKO,1,,Welterweight Bout,,ww
Alexandre Pantoja,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Neil Seery,W,Submission,3,,,,flw
Amanda Lemos,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Leslie Smith,L,KO/TKO,2,,,,wsw
Khalil Rountree Jr.,2017-07-16,,Paul Craig,W,KO/TKO,1,,,,lhw
Paul Craig,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Khalil Rountree Jr.,L,KO/TKO,1,,Light Heavyweight Bout,,mw
Danny Roberts,2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Bobby Nash,W,KO/TKO,2,,Welterweight Bout,,ww
Marlon Vera,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Brian Kelleher,W,Submission,1,,,,bw
Eryk Anders,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Rafael Natal,W,KO/TKO,1,,Middleweight Bout,,mw
Elizeu Zaleski dos Santos,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Lyman Good,W,Decision - Split,3,Split,Welterweight Bout,,mw
Rafael Natal,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Eryk Anders,L,KO/TKO,1,,Middleweight Bout,,mw
Kelvin Gastelum,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Chris Weidman,L,Submission,3,,Middleweight Bout,,ww
Patrick Cummins,2017-07-22,,Gian Villante,W,Decision,3,Split,,,lhw
Chris Weidman,2017-07-22,,Kelvin Gastelum,W,Submission,3,,,,lhw
Chris Wade,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Frankie Perez,W,Decision - Unanimous,3,Unanimous,Lightweight Bout,,ww
Lyman Good,2017-07-22,UFC Fight Night: Weidman vs. Gastelum,Elizeu Zaleski dos Santos,L,Decision - Split,3,Split,Welterweight Bout,,ww
Tyron Woodley,2017-07-29,UFC 214: Cormier vs. Jones 2,Demian Maia,W,Decision - Unanimous,5,Unanimous,UFC Welterweight Title Bout,,ww
Donald Cerrone,2017-07-29,UFC 214: Cormier vs. Jones 2,Robbie Lawler,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Demian Maia,2017-07-29,UFC 214: Cormier vs. Jones 2,Tyron Woodley,L,Decision - Unanimous,5,Unanimous,UFC Welterweight Title Bout,,ww
Brian Ortega,2017-07-29,,Renato Moicano,W,Submission,3,,,,fw
Eric Shelton,2017-07-29,UFC 214: Cormier vs. Jones 2,Jarred Brooks,L,Decision - Split,3,Split,,,flw
Aljamain Sterling,2017-07-29,,Renan Barao,W,Decision - Unanimous,3,Unanimous,,,fw
Drew Dober,2017-07-29,UFC 214: Cormier vs. Jones 2,Joshua Burkman,W,KO/TKO,1,,Lightweight Bout,,ww
Jimi Manuwa,2017-07-29,,Volkan Oezdemir,L,KO/TKO,1,,,,lhw
Jon Jones,2017-07-29,,Daniel Cormier,NC,Other,3,,,,lhw
Renato Moicano,2017-07-29,UFC 214: Cormier vs. Jones 2,Brian Ortega,L,Submission,3,,Featherweight Bout,,ww
Daniel Cormier,2017-07-29,,Jon Jones,NC,Other,3,,,,lhw
Volkan Oezdemir,2017-07-29,,Jimi Manuwa,W,KO/TKO,1,,,,lhw
Andre Fili,2017-07-29,UFC 214: Cormier vs. Jones 2,Calvin Kattar,L,Decision,3,Unanimous,,,bw
Brandon Moreno,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Sergio Pettis,L,Decision - Unanimous,5,Unanimous,,,flw
Brad Scott,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Jack Hermansson,L,KO/TKO,1,,Middleweight Bout,,mw
Alexa Grasso,2017-08-05,,Randa Markos,W,Decision - Split,3,Decision,,,wflw
Sam Alvey,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Rashad Evans,W,Decision - Split,3,Split,Middleweight Bout,,mw
Sergio Pettis,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Brandon Moreno,W,Decision - Unanimous,5,Unanimous,,,flw
Jack Hermansson,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Brad Scott,W,KO/TKO,1,,Middleweight Bout,,mw
Alan Jouban,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Niko Price,L,KO/TKO,1,,Welterweight Bout,,ww
Dustin Ortiz,2017-08-05,UFC Fight Night: Pettis vs. Moreno,Hector Sandoval,W,KO/TKO,1,,,,flw
Leon Edwards,2017-09-02,UFC Fight Night: Volkov vs. Struve,Bryan Barberena,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Francimar Barroso,2017-09-02,,Aleksandar Rakic,L,Decision,3,Unanimous,,,lhw
Bryan Barberena,2017-09-02,UFC Fight Night: Volkov vs. Struve,Leon Edwards,L,Decision - Unanimous,3,Unanimous,Welterweight Bout,,ww
Rob Wilkinson,2017-09-02,UFC Fight Night: Volkov vs. Struve,Siyar Bahadurzada,L,KO/TKO,2,,Middleweight Bout,,mw
Alexander Volkov,2017-09-02,UFC Fight Night: Volkov vs. Struve,Stefan Struve,W,KO/TKO,3,,Heavyweight Bout,,hw
Darren Till,2017-09-02,UFC Fight Night: Volkov vs. Struve,Bojan Velickovic,W,Decision - Unanimous,3,Unanimous,Welterweight Bout,,mw
Aleksandar Rakić,2017-09-02,,Francimar Barroso,W,Decision,3,Unanimous,,,lhw
Rafael Dos Anjos,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Neil Magny,W,Submission,1,,Welterweight Bout,,ww
Adriano Martins,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Kajan Johnson,L,KO/TKO,3,,Lightweight Bout,,ww
Neil Magny,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Rafael Dos Anjos,L,Submission,1,,Welterweight Bout,,ww
Wilson Reis,2017-09-09,UFC 215: Nunes vs Shevchenko 2,Henry Cejudo,L,KO/TKO,2,,,,flw
Ilir Latifi,2017-09-09,,Tyson Pedro,W,Decision,3,Unanimous,,,lhw
Tyson Pedro,2017-09-09,,Ilir Latifi,L,Decision,3,Unanimous,,,lhw
Valentina Shevchenko,2017-09-09,,Amanda Nunes,L,Decision - Split,5,Decision,,,wflw
